,FPS
0,50.00002,
0.01999999,50.00002,
0.07000399,19.9984,
0.0780413,124.4199,
0.0814581,292.6714,
0.0837646,433.5577,
0.08641279,377.615,
0.08872209,433.0322,
0.0908376,472.7005,
0.09301659,458.9268,
0.09559809,387.372,
0.09797739,420.2915,
0.1003953,413.5821,
0.1027328,427.8075,
0.1048318,476.4171,
0.1070814,444.5229,
0.1093624,438.4052,
0.1115962,447.6674,
0.1139018,433.727,
0.116511,383.2585,
0.11895,410.0049,
0.1213048,424.6637,
0.1237656,406.372,
0.1260731,433.37,
0.1282599,457.2881,
0.1304597,454.588,
0.1332445,359.0922,
0.1357497,399.1696,
0.137896,465.9178,
0.1400613,461.83,
0.1422274,461.6592,
0.144391,462.193,
0.146648,443.0658,
0.1495577,343.6779,
0.1524625,344.2581,
0.1546576,455.5594,
0.1569941,427.9904,
0.1591973,453.8861,
0.1612771,480.8145,
0.163367,478.4913,
0.1657403,421.3543,
0.1682207,403.1609,
0.1704066,457.4778,
0.1726528,445.196,
0.1748572,453.6381,
0.1769899,468.8902,
0.1791914,454.2353,
0.1813865,455.5609,
0.1835641,459.221,
0.1857115,465.6796,
0.1877857,482.1138,
0.1899623,459.4318,
0.192021,485.743,
0.1940997,481.0701,
0.1961911,478.1492,
0.1983372,465.9609,
0.200593,443.301,
0.2027043,473.6429,
0.2047896,479.5466,
0.2068728,480.031,
0.2089804,474.4726,
0.2114255,408.9818,
0.2138643,410.0383,
0.2162692,415.8171,
0.2190604,358.269,
0.2218748,355.3156,
0.2241407,441.3255,
0.226459,431.3499,
0.2286896,448.3102,
0.231119,411.6242,
0.2334011,438.1928,
0.2357123,432.6764,
0.2378664,464.2304,
0.2399445,481.2096,
0.2420874,466.6574,
0.2443648,439.0968,
0.2467201,424.5743,
0.2489662,445.2156,
0.2510399,482.2307,
0.2531318,478.0342,
0.2553465,451.5277,
0.2574409,477.4649,
0.2595174,481.5791,
0.2615599,489.5954,
0.2636595,476.2821,
0.2660061,426.1487,
0.2681122,474.811,
0.2701985,479.3169,
0.2723989,454.4635,
0.2745256,470.2119,
0.2768477,430.6443,
0.2792795,411.2176,
0.2816102,429.0561,
0.2836988,478.79,
0.2860194,430.9231,
0.2887548,365.5769,
0.2912867,394.96,
0.2935024,451.3255,
0.2957441,446.0896,
0.2982177,404.2696,
0.3004313,451.7517,
0.3025898,463.2855,
0.3047288,467.5077,
0.3069487,450.4712,
0.3091149,461.6381,
0.3117832,374.7699,
0.3141044,430.8127,
0.3164015,435.3312,
0.3185395,467.7262,
0.3206754,468.187,
0.3230748,416.7712,
0.3254063,428.9075,
0.3276406,447.5681,
0.3298681,448.9335,
0.3323497,402.9663,
0.334738,418.7077,
0.3370474,433.0123,
0.339259,452.1613,
0.3415391,438.5782,
0.3437907,444.1283,
0.3462075,413.77,
0.3486645,407.0002,
0.3509422,439.0394,
0.3530971,464.0594,
0.3554028,433.7069,
0.3580046,384.3493,
0.3603203,431.8356,
0.3625167,455.2904,
0.3647883,440.2186,
0.3670343,445.2353,
0.3692933,442.6739,
0.3714022,474.1808,
0.3736304,448.7921,
0.3759422,432.5637,
0.37826,431.4435,
0.3808524,385.7435,
0.3832199,422.386,
0.3853662,465.9178,
0.3875534,457.2065,
0.389893,427.4227,
0.3922852,418.0256,
0.3944782,455.9966,
0.3967144,447.1865,
0.3991089,417.6248,
0.4012661,463.564,
0.4035043,446.7873,
0.4057232,450.674,
0.4078782,464.0365,
0.4100267,465.4415,
0.4122471,450.3691,
0.4149413,371.1672,
0.4172423,434.5938,
0.4193572,472.8351,
0.4218523,400.7861,
0.4271272,189.577,
0.4295345,415.4034,
0.4320329,400.2564,
0.4350693,329.3372,
0.4380478,335.7394,
0.4405748,395.7264,
0.4428877,432.3569,
0.4453123,412.4398,
0.4482394,341.6346,
0.4510558,355.0635,
0.4534702,414.1817,
0.4561958,366.8914,
0.4584771,438.3466,
0.4612368,362.3581,
0.4634494,451.9572,
0.4660715,381.3735,
0.4685536,402.8858,
0.4708967,426.7841,
0.4733315,410.7113,
0.4756648,428.5779,
0.4779225,442.9281,
0.4801253,453.9679,
0.4828122,372.1764,
0.4852519,409.8858,
0.4874743,449.9641,
0.489663,456.8928,
0.4918916,448.7122,
0.4940601,461.1478,
0.4964122,425.1524,
0.498682,440.5677,
0.5012621,387.5816,
0.5035261,441.6956,
0.5057196,455.8935,
0.5079932,439.8303,
0.510327,428.4855,
0.5126592,428.7798,
0.5163368,271.9164,
0.5187856,408.364,
0.5210103,449.4983,
0.5232749,441.5796,
0.5256667,418.0949,
0.527935,440.8581,
0.5305074,388.7421,
0.5328113,434.0471,
0.5348628,487.4477,
0.5370336,460.6601,
0.5392106,459.3481,
0.5421875,335.92,
0.5454613,305.4552,
0.5486715,311.5067,
0.5509085,447.0279,
0.5533133,415.8354,
0.5561919,347.3911,
0.5588166,380.9956,
0.5612749,406.7855,
0.563949,373.9576,
0.5669092,337.8145,
0.5691773,440.898,
0.5714167,446.5484,
0.5735297,473.2601,
0.5758992,422.0298,
0.5783045,415.7485,
0.5809492,378.1148,
0.5834101,406.3556,
0.5855992,456.8084,
0.5887301,319.3974,
0.5912608,395.1469,
0.5933695,474.227,
0.5955452,459.6219,
0.5978201,439.5796,
0.6002844,405.7948,
0.6023988,472.9476,
0.604429,492.562,
0.6065996,460.7022,
0.6087824,458.1268,
0.6109908,452.8171,
0.6130448,486.854,
0.6154196,421.0891,
0.6174962,481.5561,
0.6195234,493.2903,
0.6216294,474.835,
0.6236697,490.1225,
0.6258524,458.1491,
0.6279973,466.2226,
0.6300393,489.716,
0.6323756,428.0268,
0.634435,485.5775,
0.6364772,489.6685,
0.6385363,485.6494,
0.6406196,480.0082,
0.6428483,448.6908,
0.6450777,448.5525,
0.6474949,413.7009,
0.6496981,453.8861,
0.651868,460.8497,
0.6542844,413.8392,
0.6568291,392.9737,
0.6590327,453.8029,
0.6613246,436.3191,
0.6635215,455.1862,
0.6660084,402.1074,
0.6680456,490.8692,
0.6702261,458.6107,
0.6727527,395.7897,
0.6752719,396.9508,
0.6776721,416.6322,
0.6799162,445.6121,
0.6822511,428.284,
0.6846762,412.3542,
0.6869722,435.5408,
0.6895438,388.8621,
0.692049,399.1707,
0.6946186,389.1656,
0.6970435,412.388,
0.6995685,396.0396,
0.7018361,440.9945,
0.7042411,415.8011,
0.7066111,421.9402,
0.7088806,440.6255,
0.711307,412.1339,
0.7137952,401.8967,
0.7164311,379.3773,
0.7187367,433.7256,
0.7214904,363.1479,
0.7237214,448.2305,
0.7259565,447.4063,
0.7280893,468.8683,
0.7303028,451.7719,
0.7328103,398.804,
0.7349394,469.6814,
0.7371127,460.1299,
0.7391963,479.9396,
0.7412803,479.8466,
0.7435146,447.5667,
0.7457512,447.1072,
0.7481986,408.597,
0.7505815,419.6565,
0.7532412,375.9821,
0.7557982,391.0842,
0.7583277,395.3351,
0.7608358,398.7071,
0.7633016,405.5487,
0.7660239,367.3364,
0.7684544,411.4382,
0.7708356,419.9562,
