,FPS
0,50.00002,
0.01999999,50.00002,
0.1157613,10.44263,
0.1398965,41.43327,
0.1633175,42.69672,
0.1863153,43.48243,
0.2100286,42.17043,
0.2327229,44.06392,
0.2555647,43.7794,
0.2805516,40.02097,
0.3034296,43.71012,
0.326529,43.29117,
0.3497955,42.98024,
0.3724811,44.08083,
0.3943412,45.74545,
0.4160382,46.08931,
0.4380848,45.35847,
0.4597346,46.1898,
0.4826272,43.68225,
0.5045339,45.64813,
0.5271821,44.15362,
0.5495086,44.78982,
0.5716302,45.20469,
0.5932976,46.15229,
0.6141723,47.90487,
0.6357645,46.31303,
0.6560105,49.39247,
0.6763275,49.21987,
0.696882,48.65115,
0.7173247,48.91721,
0.7375437,49.45844,
0.7576586,49.71439,
0.7791801,46.46516,
0.8008074,46.23787,
0.8226719,45.73623,
0.8429922,49.21188,
0.8650533,45.32865,
0.8879121,43.74683,
0.909294,46.76854,
0.9313001,45.44194,
0.9530964,45.87934,
0.9745109,46.69733,
0.9969902,44.48537,
1.020179,43.12446,
1.041518,46.86255,
1.062502,47.65444,
1.082519,49.95929,
1.102206,50.79263,
1.121705,51.2852,
1.142239,48.70066,
1.161689,51.41362,
1.182435,48.20161,
1.202643,49.48535,
1.222438,50.51933,
1.242531,49.76809,
1.263159,48.47662,
1.283685,48.71821,
1.303553,50.3327,
1.323693,49.65343,
1.342315,53.70079,
1.362233,50.20458,
1.38108,53.05941,
1.40083,50.63342,
1.420788,50.10522,
1.439672,52.95488,
1.458542,52.99221,
1.478019,51.34418,
1.497685,50.84944,
1.518345,48.40225,
1.539338,47.63379,
1.561303,45.52822,
1.581329,49.93509,
1.600614,51.85404,
1.620167,51.14122,
1.63964,51.35341,
1.658537,52.91817,
1.67891,49.08433,
1.697561,53.61759,
1.717449,50.28107,
1.736452,52.62326,
1.75558,52.2813,
1.774629,52.49509,
1.794311,50.80836,
1.814097,50.54052,
1.834077,50.04956,
1.854414,49.17097,
1.874654,49.4076,
1.895701,47.51203,
1.914659,52.74875,
1.933674,52.59143,
1.953014,51.70498,
1.973429,48.98288,
1.992348,52.85831,
2.011648,51.81429,
2.030772,52.29004,
2.051434,48.39779,
2.070345,52.87843,
2.0899,51.13939,
2.109445,51.16215,
2.128785,51.70712,
2.148323,51.1823,
2.167812,51.30995,
2.188574,48.16678,
2.207941,51.63235,
2.226352,54.31624,
2.246511,49.60539,
2.265238,53.39825,
2.283942,53.46564,
2.308805,40.22122,
2.332506,42.19106,
2.363067,32.72113,
2.394464,31.85078,
2.431409,27.06719,
2.450812,51.53922,
2.471406,48.55595,
2.491808,49.01673,
2.512264,48.88517,
2.533148,47.88194,
2.553182,49.91638,
2.573454,49.32767,
2.593309,50.36692,
2.613461,49.62163,
2.633526,49.83952,
2.654255,48.2416,
2.676077,45.82404,
2.697394,46.9107,
2.717496,49.74606,
2.737423,50.18443,
2.757936,48.75053,
2.778503,48.62087,
2.79928,48.12944,
2.81968,49.02034,
2.841312,46.22823,
2.861151,50.40576,
2.880837,50.79572,
2.901691,47.95358,
2.920992,51.81052,
2.939678,53.51629,
2.958754,52.42162,
2.982753,41.66892,
3.00603,42.96123,
3.029142,43.26626,
3.049572,48.94762,
3.07003,48.88039,
3.091089,47.48653,
3.111865,48.13131,
3.132919,47.49894,
3.154692,45.92633,
3.17625,46.38866,
3.198055,45.86103,
3.221091,43.40881,
3.243677,44.27639,
3.264644,47.6931,
3.285679,47.53935,
3.305701,49.94582,
3.325352,50.88695,
3.345308,50.11075,
3.365583,49.32279,
3.386267,48.34491,
3.406812,48.67365,
3.426054,51.97128,
3.446185,49.67487,
3.466903,48.26744,
3.486694,50.52802,
3.507264,48.61283,
3.526855,51.04567,
3.546478,50.96112,
3.565831,51.67105,
3.585349,51.23318,
3.606351,47.61542,
3.625834,51.32627,
3.646753,47.80412,
3.668513,45.9561,
3.688935,48.96727,
3.710449,46.48137,
3.731182,48.23042,
3.751654,48.84793,
3.771024,51.62595,
3.792702,46.12972,
3.812757,49.86437,
3.832573,50.46324,
3.852664,49.7723,
3.873465,48.07484,
3.894111,48.43601,
3.913822,50.73334,
3.933836,49.96503,
3.954372,48.69402,
3.975045,48.37345,
3.995727,48.35052,
4.016964,47.08784,
4.039611,44.15655,
4.061765,45.13796,
4.082077,49.23319,
4.102427,49.13885,
4.123561,47.31757,
4.143707,49.63666,
4.164703,47.62811,
4.185429,48.25068,
4.206362,47.76918,
4.225959,51.02952,
4.246728,48.14706,
4.266922,49.5204,
4.287277,49.12895,
4.307414,49.65909,
4.328602,47.19676,
4.350379,45.92043,
4.369804,51.48032,
4.389392,51.04983,
4.409909,48.7415,
4.430992,47.43068,
4.451957,47.69945,
4.471788,50.42534,
4.492482,48.32365,
4.514582,45.24806,
4.537279,44.05985,
4.558547,47.01832,
4.580112,46.3723,
4.602354,44.95959,
4.623425,47.45747,
4.645612,45.07265,
4.667995,44.67617,
4.688616,48.49355,
4.709323,48.29424,
4.730228,47.83546,
4.749857,50.94425,
4.76855,53.4954,
4.788598,49.88152,
4.807903,51.8006,
4.827591,50.79133,
4.847735,49.64109,
4.866683,52.77574,
4.88709,49.00544,
4.906654,51.11245,
4.926839,49.54271,
4.947196,49.12389,
4.966925,50.68552,
4.987264,49.16759,
5.023274,27.76983,
5.05197,34.84722,
5.08297,32.259,
5.113817,32.41827,
5.144168,32.94773,
5.173775,33.77568,
5.204856,32.17317,
5.235579,32.55017,
5.26514,33.82733,
5.295544,32.89095,
5.325263,33.64862,
5.354121,34.65159,
5.383506,34.03143,
5.412432,34.57062,
5.440416,35.73521,
5.469637,34.22138,
5.501445,31.43913,
5.531844,32.89592,
5.562304,32.82994,
5.592783,32.80883,
5.624385,31.64387,
5.655866,31.76559,
5.684416,35.02542,
5.722591,26.1955,
5.742742,49.62508,
5.764397,46.1785,
5.785239,47.97981,
5.805661,48.96848,
5.825426,50.59321,
5.846122,48.31804,
5.866195,49.81842,
5.886527,49.18331,
5.908896,44.70552,
5.928939,49.89099,
5.950561,46.24982,
5.97162,47.48564,
5.992271,48.42476,
6.012408,49.65982,
6.032647,49.40981,
6.053309,48.39663,
6.074347,47.53303,
6.09499,48.44304,
6.116068,47.44284,
6.136679,48.51825,
6.157049,49.09253,
6.176647,51.02456,
6.19731,48.39475,
6.220074,43.92921,
6.241705,46.23015,
6.262265,48.63837,
6.283431,47.24715,
6.303232,50.50147,
6.322713,51.33154,
6.343146,48.93973,
6.362457,51.78503,
6.381593,52.25807,
6.400545,52.76378,
6.421141,48.55381,
6.440667,51.21429,
6.461345,48.35989,
6.480949,51.00896,
6.500981,49.92087,
6.52163,48.42756,
6.541624,50.01625,
6.561893,49.33496,
6.58286,47.694,
6.603533,48.37391,
6.622878,51.69216,
6.642063,52.1246,
6.661527,51.37689,
6.680768,51.97371,
6.700975,49.4856,
6.71995,52.70314,
6.739193,51.96506,
6.758633,51.44006,
6.777864,51.99829,
6.797082,52.03671,
6.816206,52.2895,
6.835994,50.53645,
6.855372,51.60305,
