,FPS
0,50.00002,
0.01999999,50.00002,
0.08611619,15.12489,
0.09187049,173.7831,
0.0943506,403.2092,
0.09672429,421.2839,
0.09895159,448.9735,
0.1014291,403.6336,
0.1040091,387.5965,
0.1063197,432.7879,
0.1086325,432.3768,
0.1108074,459.7911,
0.1129963,456.8498,
0.1152649,440.8003,
0.1175136,444.7022,
0.1198247,432.6936,
0.1218933,483.4201,
0.1241504,443.0463,
0.1264904,427.3502,
0.1286283,467.7479,
0.1307211,477.8303,
0.1328823,462.7052,
0.1353358,407.5809,
0.1375168,458.5049,
0.1396116,477.3728,
0.1417039,477.9435,
0.1438046,476.0315,
0.1461079,434.1593,
0.1483136,453.3714,
0.1503965,480.0996,
0.1528804,402.5927,
0.1551056,449.3981,
0.1573709,441.4428,
0.1601953,354.0569,
0.1629202,366.9868,
0.1650822,462.5338,
0.1672377,463.9297,
0.1694997,442.0859,
0.171744,445.5741,
0.1738797,468.2305,
0.1760966,451.0802,
0.1783188,450.0043,
0.1805435,449.4983,
0.1827572,451.7329,
0.1851267,422.0298,
0.187536,415.0588,
0.189741,453.5142,
0.1919092,461.2127,
0.1943455,410.4581,
0.1965705,449.4382,
0.1987597,456.7878,
0.2010337,439.7536,
0.2032033,460.9144,
0.2056017,416.9449,
0.2078522,444.3465,
0.2100172,461.8935,
0.2121215,475.2171,
0.2145546,410.9984,
0.21696,415.7313,
0.2194563,400.5927,
0.2215758,471.8091,
0.2236943,472.0333,
0.2257901,477.1436,
0.2280218,448.0896,
0.2306876,375.1216,
0.233236,392.4033,
0.2355093,439.8893,
0.2376279,472.0096,
0.2398132,457.6024,
0.24187,486.1932,
0.2439485,481.1161,
0.2461683,450.4913,
0.2482913,471.0312,
0.2504661,459.812,
0.2526336,461.3619,
0.2547482,472.9016,
0.2568112,484.7319,
0.2588991,478.9492,
0.2611977,435.048,
0.2633366,467.5294,
0.2656975,423.5675,
0.2682058,398.6768,
0.270547,427.1303,
0.2728495,434.3116,
0.2751067,443.0269,
0.277347,446.3676,
0.2795484,454.2572,
0.2817578,452.6109,
0.2844922,365.7114,
0.2868552,423.1903,
0.2890974,445.9909,
0.2912771,458.7791,
0.2935307,443.7345,
0.2958994,422.1724,
0.2981637,441.6376,
0.3005558,418.0429,
0.302768,452.0382,
0.3051922,412.5073,
0.3075469,424.6829,
0.309867,431.0153,
0.3121307,441.7551,
0.3144298,434.9528,
0.316669,446.5879,
0.319344,373.8318,
0.3218225,403.4698,
0.3243587,394.2902,
0.3266914,428.6886,
0.3288352,466.4615,
0.3311148,438.6736,
0.3332708,463.8215,
0.3354838,451.8746,
0.3376999,451.2432,
0.3399959,435.5408,
0.3422779,438.2119,
0.3444403,462.4489,
0.3465564,472.5675,
0.3486307,482.0907,
0.3508812,444.3451,
0.3532087,429.6453,
0.3555606,425.1883,
0.3577274,461.5098,
0.3598361,474.227,
0.3619953,463.1334,
0.3642279,447.909,
0.3663843,463.7361,
0.3687492,422.8505,
0.3714944,364.2718,
0.3740633,389.2719,
0.3763197,443.1841,
0.3783881,483.4648,
0.3804526,484.3792,
0.3825821,469.5938,
0.3851074,395.9929,
0.3876204,397.9303,
0.389868,444.9195,
0.392105,447.0279,
0.3943679,441.9101,
0.3966026,447.4872,
0.3989296,429.7382,
0.4013471,413.65,
0.4035276,458.6107,
0.4057696,446.0304,
0.4079613,456.2664,
0.4102071,445.276,
0.412364,463.628,
0.4147472,419.6042,
0.4169719,449.4997,
0.4193309,423.9086,
0.4215776,445.0963,
0.423663,479.5254,
0.4259206,442.9476,
0.4281601,446.5286,
0.4304137,443.7345,
0.4326251,452.2019,
0.4349123,437.2154,
0.4371991,437.2926,
0.4393634,462.0432,
0.4416634,434.7826,
0.4439515,437.0434,
0.4461933,446.0713,
0.4485276,428.3932,
0.4508895,423.3884,
0.4531655,439.3675,
0.4555135,425.894,
0.4578044,436.5094,
0.4600319,448.9335,
0.4622854,443.7541,
0.4645528,441.0345,
0.4668305,439.0394,
0.4691068,439.31,
0.4713121,453.453,
0.473516,453.7401,
0.4758455,429.2767,
0.4780804,447.4474,
0.4802248,466.3305,
0.4827599,394.4621,
0.4851584,416.9276,
0.4894882,230.9573,
0.4918316,426.7312,
0.4939052,482.2522,
0.4959987,477.6701,
0.4981045,474.8781,
0.5001096,498.7277,
0.5025918,402.8685,
0.5048221,448.3701,
0.5070429,450.2886,
0.5093808,427.7349,
0.5116022,450.1665,
0.5143457,364.4977,
0.5169365,385.9808,
0.5194527,397.4249,
0.521705,443.9914,
0.5240507,426.3109,
0.5264774,412.0822,
0.5287098,447.9488,
0.5309954,437.5217,
0.533253,442.9489,
0.5357519,400.1758,
0.538022,440.5086,
0.5401285,474.7216,
0.54229,462.6415,
0.5446262,428.0463,
0.5470773,407.9804,
0.5496028,395.9607,
0.5522422,378.8741,
0.5545768,428.3386,
0.5568146,446.8679,
0.5589895,459.7911,
0.561294,433.9337,
0.5634692,459.7282,
0.5656437,459.875,
0.5680244,420.045,
0.5701033,481.0226,
0.5723965,436.0724,
0.5745757,458.8835,
0.5767846,452.714,
0.5790059,450.188,
0.5811745,461.1267,
0.5835628,418.7077,
0.586189,380.7776,
0.5884205,448.1295,
0.5905678,465.7011,
0.5927244,463.6934,
0.5950603,428.1008,
0.5971839,470.8976,
0.5994354,444.1479,
0.6016832,444.8802,
0.6037677,479.7308,
0.6060501,438.1357,
0.6081419,478.0569,
0.6104198,439.0012,
0.6125607,467.093,
0.6148055,445.4742,
0.6171092,434.0845,
0.6193555,445.1763,
0.6216188,441.8326,
0.6237726,464.2961,
0.6260603,437.1205,
0.6282776,450.9981,
0.6304068,469.6611,
0.6324744,483.6521,
0.6347267,443.99,
0.6368715,466.2442,
0.6390537,458.2532,
0.6412557,454.1329,
0.6433569,475.9175,
0.6455691,452.0397,
0.6476604,478.1703,
0.6498901,448.4912,
0.6520744,457.8132,
0.6549061,353.1443,
0.6576078,370.1372,
0.6598646,443.1062,
0.6620647,454.525,
0.6643065,446.0699,
0.6664886,458.274,
0.6688274,427.569,
0.6710111,457.9395,
0.6733921,419.9912,
0.6755811,456.8291,
0.6777382,463.5853,
0.6800249,437.3115,
0.6823489,430.2924,
0.684892,393.2212,
0.6871705,438.8851,
0.689394,449.7419,
0.6915691,459.7491,
0.6935675,500.4007,
0.6957348,461.4026,
0.6980827,425.9134,
0.7006791,385.1486,
0.7030185,427.4589,
0.7054465,411.862,
0.7077764,429.2036,
0.7100166,446.3888,
0.7123665,425.5499,
0.7147122,426.3109,
0.717247,394.5084,
0.7197296,402.8041,
0.7219788,444.6027,
0.724172,455.9539,
0.7264742,434.3677,
0.728689,451.5074,
0.7309598,440.3738,
0.7331683,452.7968,
0.7357709,384.231,
0.7380981,429.7002,
0.7403539,443.3024,
0.7426744,430.9416,
0.744968,435.9956,
0.7471506,458.1685,
0.7493357,457.6454,
0.7518311,400.7372,
0.754162,429.0196,
0.7563875,449.3366,
0.7584733,479.4325,
0.7605928,471.8091,
0.7627647,460.4272,
