,FPS
0,50.00002,
0.01999999,50.00002,
0.100193,12.46992,
0.1148561,68.19843,
0.1245199,103.4789,
0.1339305,106.2631,
0.1436938,102.4244,
0.1534923,102.0564,
0.1618743,119.3033,
0.1704191,117.0303,
0.1787701,119.7462,
0.1887072,100.633,
0.1981454,105.9524,
0.2066736,117.258,
0.2158261,109.2597,
0.2254645,103.7517,
0.2350367,104.4693,
0.2437088,115.3123,
0.2535367,101.7512,
0.2621385,116.2547,
0.2707877,115.6175,
0.2792533,118.1252,
0.2877958,117.0617,
0.2961373,119.8826,
0.3051838,110.54,
0.3136112,118.6605,
0.3231657,104.6627,
0.3330651,101.0163,
0.3427057,103.728,
0.3520744,106.7384,
0.3612994,108.4011,
0.371325,99.7447,
0.380698,106.6894,
0.3902417,104.7812,
0.4031071,77.72787,
0.413845,93.12804,
0.4229414,109.9336,
0.4321127,109.0358,
0.4407272,116.0834,
0.4508689,98.60278,
0.4597784,112.2398,
0.4694362,103.5432,
0.4786676,108.3259,
0.4882599,104.2503,
0.4975752,107.3502,
0.5078292,97.52295,
0.5186765,92.18884,
0.5293736,93.48326,
0.5391091,102.7169,
0.5490842,100.2496,
0.5596329,94.79845,
0.5693418,102.9983,
0.578561,108.4692,
0.5886702,98.91982,
0.59847,102.0429,
0.6083456,101.2597,
0.6195879,88.94974,
0.6278039,121.7137,
0.6362997,117.7052,
0.6455056,108.626,
0.6547926,107.6774,
0.6626147,127.8429,
0.6716571,110.5902,
0.6805302,112.7002,
0.6884121,126.8729,
0.6963129,126.5695,
0.7053451,110.715,
0.7131597,127.9656,
0.7220381,112.6329,
0.731051,110.9521,
0.7391749,123.0936,
0.746931,128.9308,
0.755097,122.459,
0.7629545,127.267,
0.7711878,121.4579,
0.7788701,130.1694,
0.7875801,114.8106,
0.7960511,118.0498,
0.8051951,109.3614,
0.8138562,115.4588,
0.8231363,107.7574,
0.8310337,126.624,
0.8392653,121.4831,
0.8480094,114.3628,
0.8561911,122.224,
0.8651078,112.1491,
0.8730436,126.0112,
0.8809841,125.9366,
0.8890623,123.79,
0.8967694,129.7505,
0.9054769,114.8436,
0.9134853,124.8688,
0.9217119,121.5569,
0.9295768,127.1473,
0.9376664,123.6154,
0.9455733,126.4719,
0.9537415,122.4259,
0.9614785,129.2491,
0.9696965,121.6841,
0.9774007,129.7993,
0.9854915,123.5971,
0.9932672,128.6058,
1.001385,123.1831,
1.009167,128.4984,
1.017309,122.8244,
1.026191,112.5861,
1.034091,126.5839,
1.042643,116.9372,
1.051558,112.1642,
1.059924,119.5372,
1.068121,121.9989,
1.076981,112.8566,
1.085861,112.6216,
1.093671,128.0426,
1.101763,123.5757,
1.110748,111.2979,
1.118707,125.6455,
1.127748,110.5999,
1.142288,68.77766,
1.154976,78.81527,
1.173464,54.0871,
1.191389,55.78986,
1.218922,36.32018,
1.226916,125.0892,
1.235088,122.372,
1.243053,125.5399,
1.25122,122.444,
1.260082,112.8477,
1.268569,117.8328,
1.27697,119.0307,
1.285879,112.2435,
1.294033,122.6363,
1.303368,107.1202,
1.311353,125.2379,
1.320014,115.4561,
1.329062,110.5302,
1.338281,108.474,
1.346826,117.0193,
1.356053,108.3847,
1.365156,109.8514,
1.373219,124.0172,
1.381465,121.2724,
1.389682,121.6959,
1.398592,112.2335,
1.40658,125.1925,
1.414863,120.7351,
1.424257,106.4486,
1.43237,123.2559,
1.440327,125.6739,
1.44816,127.6634,
1.456329,122.4126,
1.463994,130.4614,
1.472108,123.2484,
1.480105,125.0469,
1.489122,110.9077,
1.496908,128.4225,
1.505234,120.1086,
1.51305,127.9378,
1.521245,122.0391,
1.529138,126.6833,
1.537459,120.1807,
1.545267,128.0739,
1.553588,120.175,
1.561294,129.774,
1.569597,120.4442,
1.57732,129.4834,
1.585682,119.5785,
1.593476,128.3022,
1.602265,113.7786,
1.611007,114.3943,
1.619892,112.5441,
1.627667,128.619,
1.635767,123.4675,
1.643806,124.3843,
1.651834,124.5687,
1.659581,129.0755,
1.667455,127.0051,
1.675325,127.0615,
1.683245,126.2658,
1.692006,114.1423,
1.699868,127.1974,
1.707487,131.256,
1.715489,124.9563,
1.724262,113.9899,
1.732405,122.8094,
1.740282,126.9503,
1.74823,125.8194,
1.756141,126.4063,
1.765263,109.6179,
1.773096,127.6731,
1.782034,111.8856,
1.789967,126.0541,
1.797707,129.1872,
1.805763,124.1327,
1.814843,110.1321,
1.822788,125.8717,
1.830558,128.7051,
1.838522,125.5541,
1.847289,114.0719,
1.855877,116.4375,
1.863678,128.1871,
1.872524,113.0518,
1.880329,128.1099,
1.888327,125.0422,
1.896143,127.9394,
1.904501,119.6459,
1.912462,125.6171,
1.920612,122.6903,
1.928471,127.2459,
1.936929,118.2243,
1.944877,125.8194,
1.95296,123.7302,
1.960958,125.0219,
1.969258,120.4804,
1.978179,112.0926,
1.986314,122.9346,
1.994485,122.3781,
2.002438,125.7483,
2.010498,124.0602,
2.018375,126.9535,
2.026402,124.5764,
2.034226,127.8086,
2.042142,126.336,
2.050111,125.4862,
2.058066,125.7056,
2.066051,125.2364,
2.073909,127.2604,
2.081945,124.4292,
2.090078,122.968,
2.097939,127.2135,
2.106584,115.6657,
2.115214,115.8802,
2.12419,111.4107,
2.132081,126.7187,
2.141743,103.5004,
2.150239,117.7066,
2.159441,108.6708,
2.167401,125.6187,
2.175311,126.4223,
2.18306,129.0589,
2.190885,127.7955,
2.198871,125.2144,
2.206769,126.6224,
2.214501,129.3159,
2.223431,111.9834,
2.231568,122.8984,
2.239643,123.8467,
2.248554,112.2196,
2.256535,125.2912,
2.264493,125.6676,
2.272624,122.9876,
2.280343,129.5472,
2.288281,125.97,
2.296214,126.051,
2.304493,120.7904,
2.312223,129.3695,
2.320173,125.7815,
2.328038,127.1488,
2.336296,121.0947,
2.345102,113.5667,
2.35341,120.3572,
2.361775,119.5501,
2.376004,70.2785,
2.387582,86.37072,
2.405757,55.02153,
2.423058,57.79947,
2.444593,46.43496,
2.452682,123.6201,
2.460954,120.8985,
2.469014,124.0634,
2.477322,120.3717,
2.485427,123.3806,
2.493507,123.7655,
2.501757,121.2077,
2.509779,124.6572,
2.517729,125.7893,
2.525554,127.7989,
2.533935,119.3089,
2.54181,126.997,
2.549864,124.1527,
2.557703,127.5689,
2.565773,123.9081,
2.573694,126.2499,
2.58208,119.2564,
2.590966,112.5251,
2.600142,108.9835,
2.609462,107.295,
2.618165,114.9134,
2.626547,119.299,
2.635808,107.9797,
2.643862,124.165,
2.653078,108.5046,
2.661773,115.002,
2.670838,110.3204,
2.678839,124.9844,
2.68802,108.9218,
2.697119,109.8937,
2.706041,112.0825,
2.715234,108.7867,
2.724133,112.3697,
2.733155,110.8414,
2.741854,114.9571,
2.750807,111.6882,
2.758593,128.4422,
2.766612,124.6976,
2.77475,122.8834,
2.782909,122.5595,
2.790786,126.9583,
2.798979,122.0495,
2.807093,123.2452,
2.815176,123.7257,
2.822995,127.8903,
2.830823,127.7385,
2.838891,123.9495,
