,FPS
0,50.00002,
0.01999999,50.00002,
0.09203269,13.88258,
0.09987549,127.5055,
0.1040836,237.637,
0.1073358,307.4838,
0.1104292,323.2693,
0.1133324,344.4471,
0.1162936,337.7014,
0.1191813,346.2957,
0.1226864,285.299,
0.1260037,301.4496,
0.1289065,344.4951,
0.1318991,334.1573,
0.1361428,235.6434,
0.1390345,345.8179,
0.1420665,329.8152,
0.1450833,331.4769,
0.1480364,338.6276,
0.1508604,354.1075,
0.1539386,324.8649,
0.1569126,336.2474,
0.1600487,318.8677,
0.163008,337.9173,
0.1658565,351.0622,
0.1689564,322.5909,
0.1722367,304.8501,
0.1755492,301.8868,
0.1784247,347.7661,
0.1813319,343.9736,
0.1846064,305.3898,
0.1874188,355.5681,
0.1903508,341.064,
0.1941528,263.0196,
0.1976236,288.1182,
0.2004,360.1783,
0.2033646,337.3139,
0.2063302,337.2003,
0.2093485,331.312,
0.2121384,358.4355,
0.2153433,312.0226,
0.218682,299.518,
0.2216445,337.5527,
0.2246997,327.3107,
0.2278874,313.7053,
0.2308991,332.0385,
0.2338316,341.0063,
0.2366867,350.2502,
0.2394778,358.2817,
0.2423418,349.1626,
0.2453181,335.9872,
0.2482708,338.6731,
0.2520232,266.4959,
0.2549921,336.8252,
0.2580536,326.6372,
0.2610045,338.8797,
0.263856,350.6932,
0.2666838,353.6319,
0.2695614,347.5117,
0.2723786,354.9617,
0.2755042,319.9391,
0.2782349,366.2059,
0.281108,348.056,
0.2838978,358.4492,
0.2874541,281.1912,
0.2907377,304.5435,
0.2936472,343.7022,
0.2964796,353.0569,
0.2992295,363.6495,
0.3019201,371.6648,
0.3047581,352.3604,
0.3074468,371.9273,
0.3105051,326.9793,
0.3134303,341.8563,
0.3162971,348.8217,
0.3191403,351.7158,
0.3220588,342.6424,
0.3252827,310.1832,
0.3282473,337.3131,
0.3311582,343.5365,
0.3339672,355.9986,
0.3367852,354.8618,
0.3397357,338.9253,
0.3426785,339.8124,
0.3457884,321.5538,
0.3487696,335.4354,
0.3516529,346.8251,
0.3556523,250.0377,
0.3587991,317.7827,
0.3627841,250.9411,
0.3656698,346.5363,
0.368573,344.448,
0.3715176,339.6047,
0.3749114,294.655,
0.3820188,140.6983,
0.385983,252.2577,
0.3902884,232.2665,
0.3937863,285.8862,
0.3970743,304.136,
0.4004786,293.746,
0.4038385,297.628,
0.4071903,298.3472,
0.4106378,290.0654,
0.4140032,297.1417,
0.4174937,286.4915,
0.4208757,295.6835,
0.4251343,234.8188,
0.4300169,204.8088,
0.4330436,330.3935,
0.436468,292.0216,
0.4396179,317.4703,
0.4426858,325.9559,
0.4456167,341.1926,
0.4485173,344.756,
0.4513434,353.8447,
0.4546601,301.5043,
0.4577111,327.7615,
0.4607551,328.5153,
0.4636662,343.5123,
0.4665399,347.9839,
0.4692332,371.2912,
0.4721238,345.9493,
0.4752419,320.7076,
0.4781617,342.4893,
0.4809766,355.253,
0.4838407,349.1497,
0.4883356,222.4741,
0.4921841,259.8416,
0.4954644,304.8501,
0.4983963,341.0764,
0.5012433,351.2466,
0.5040631,354.6353,
0.5069072,351.6046,
0.5101545,307.9481,
0.5132304,325.1081,
0.5161706,340.1129,
0.5190965,341.7752,
0.5221103,331.8074,
0.5253164,311.9053,
0.5282255,343.7491,
0.5310946,348.5408,
0.5340629,336.8936,
0.5369148,350.6436,
0.539723,356.1002,
0.5426742,338.8447,
0.5455938,342.5126,
0.5484435,350.9147,
0.5513023,349.797,
0.5541924,346.0087,
0.5572909,322.7371,
0.5603726,324.4958,
0.5632482,347.7532,
0.5663688,320.4512,
0.5692482,347.2945,
0.5720702,354.3592,
0.5752765,311.886,
0.5783213,328.4289,
0.581957,275.0502,
0.585301,299.0426,
0.5880779,360.1139,
0.5908388,362.2009,
0.5947604,254.998,
0.5976195,349.7606,
0.6011058,286.8369,
0.604329,310.2507,
0.6080244,270.6066,
0.6109931,336.8477,
0.6139206,341.5882,
0.6168163,345.3398,
0.6196673,350.7542,
0.6224626,357.7431,
0.6254246,337.6101,
0.628202,360.0487,
0.6312266,330.6227,
0.6341074,347.1254,
0.6368873,359.7256,
0.639652,361.7024,
0.6425905,340.3098,
0.6455708,335.5367,
0.6484391,348.639,
0.65134,344.7206,
0.6543099,336.7111,
0.6572993,334.5154,
0.6605575,306.9181,
0.663535,335.8521,
0.6667044,315.5169,
0.6697366,329.7936,
0.6725695,352.9959,
0.6766549,244.7739,
0.6803066,273.845,
0.6833162,332.2699,
0.6862832,337.0408,
0.6893178,329.5325,
0.6926569,299.4824,
0.6956673,332.1815,
0.6987129,328.3426,
0.7016954,335.2895,
0.7047752,324.696,
0.7078772,322.3728,
0.710964,323.9603,
0.7139223,338.0314,
0.7169677,328.3647,
0.720074,321.9257,
0.7231132,329.0346,
0.7264651,298.3377,
0.7297187,307.3519,
0.7326568,340.3566,
0.7355361,347.3065,
0.7384246,346.2006,
0.7415298,322.0403,
0.7447527,310.2793,
0.7475489,357.6289,
0.75033,359.5698,
0.7532231,345.6494,
0.7562244,333.1893,
0.7595166,303.7484,
0.7627707,307.3044,
0.7659998,309.6842,
0.7691332,319.1417,
0.7728992,265.5337,
0.7768686,251.9276,
0.780157,304.0993,
0.7835107,298.1776,
0.7869575,290.1244,
0.7905328,279.697,
0.7943793,259.9767,
0.7980653,271.2964,
0.8012379,315.1991,
0.8046553,292.6198,
0.8083479,270.8123,
0.8115736,310.0101,
0.8149504,296.1384,
0.8183949,290.3178,
0.8217385,299.0787,
0.8253367,277.9167,
0.82886,283.8249,
0.8323067,290.1328,
0.8354719,315.9358,
0.8386366,315.9854,
0.8419788,299.2043,
0.8451738,312.9893,
0.8483723,312.6461,
0.8515981,310.0005,
0.855163,280.5132,
0.8586253,288.8252,
0.8619004,305.3343,
0.8665586,214.6752,
0.8698088,307.6735,
0.8732198,293.1688,
0.8769725,266.4748,
0.8809795,249.5632,
0.8853965,226.398,
0.8886499,307.3706,
0.8919682,301.3594,
0.89518,311.3521,
0.8983454,315.916,
0.9015777,309.3766,
0.9047404,316.1857,
0.9078494,321.6469,
0.91213,233.6122,
0.9152925,316.2055,
0.9184748,314.2383,
0.9216372,316.2155,
0.9254069,265.2731,
0.9288115,293.7198,
0.9320091,312.7348,
0.9352633,307.295,
0.9385088,308.1196,
0.9418017,303.683,
0.9451953,294.6728,
0.9485854,294.9765,
0.9518532,306.0162,
0.955008,316.9769,
0.9583232,301.6409,
0.9617167,294.6815,
0.9650921,296.2608,
0.9682417,317.501,
0.9714007,316.5559,
0.9747171,301.5314,
0.9779807,306.4102,
0.9813471,297.0535,
0.9853879,247.4756,
0.9890217,275.1939,
0.9922133,313.3222,
0.9956092,294.473,
0.9988244,311.0227,
1.002,314.9409,
1.006124,242.4592,
1.009008,346.7288,
1.012063,327.3646,
1.015043,335.6045,
1.01805,332.5016,
1.020839,358.6031,
1.023621,359.415,
1.026671,327.8689,
1.029464,357.9863,
1.032142,373.4549,
1.035903,265.9225,
1.038641,365.1626,
