,FPS
0,50.00002,
0.01999999,50.00002,
0.3533333,3,
0.6866667,3,
1.02,3,
1.353333,3,
1.686667,3,
2.02,3,
2.353333,3,
2.686667,3,
3.019763,3.00213,
3.353097,3,
3.68643,3,
4.019763,3,
4.353097,3,
4.68643,3,
5.019763,3,
5.353097,3,
5.68643,3,
6.019763,3,
6.353097,3,
6.68643,3,
7.019763,3,
7.353097,3,
7.68643,3,
8.019764,3,
8.353097,3,
8.68643,3,
9.019764,3,
9.353097,3,
9.68643,3,
10.01976,3,
10.35277,3.002906,
10.68611,3,
11.01944,3,
11.35277,3,
11.68611,3,
12.01944,3,
12.35277,3,
12.68611,3,
13.01944,3,
13.35277,3,
13.68611,3,
14.01944,3,
14.35277,3,
14.68611,3,
