,FPS
0,50.00002,
0.01999999,50.00002,
0.1278683,9.270564,
0.2119858,11.88813,
0.2892199,12.94765,
0.3485099,16.86625,
0.402045,18.67933,
0.4580031,17.87051,
0.5118388,18.57504,
0.5651395,18.76148,
0.6199171,18.25564,
0.6703108,19.84375,
0.7203625,19.97934,
0.7725518,19.16101,
0.8209328,20.66927,
0.8704162,20.2088,
0.9212831,19.65915,
0.9695102,20.73523,
1.016736,21.17487,
1.063747,21.27143,
1.111947,20.74706,
1.157207,22.09437,
1.209717,19.04414,
1.26285,18.8207,
1.354748,10.88164,
1.400581,21.81839,
1.445493,22.26557,
1.492502,21.27279,
1.537184,22.38017,
1.582739,21.95158,
1.62675,22.72123,
1.67424,21.05729,
1.718135,22.78143,
1.760252,23.74372,
1.803021,23.38153,
1.851406,20.66735,
1.895339,22.76209,
1.93846,23.19056,
1.98258,22.66526,
2.03095,20.67414,
2.074057,23.19792,
2.117731,22.89692,
2.160583,23.33613,
2.208125,21.03399,
2.253716,21.93439,
2.301895,20.75558,
2.348965,21.24496,
2.395554,21.46453,
2.437898,23.61621,
2.479445,24.06918,
2.520828,24.16399,
2.566337,21.97387,
2.608401,23.77335,
2.650006,24.03592,
2.6918,23.92682,
2.736504,22.36916,
2.778958,23.5549,
2.822474,22.98027,
2.864194,23.96915,
2.908533,22.5533,
2.949386,24.47795,
2.989765,24.76535,
3.029373,25.24742,
3.07224,23.32835,
3.113208,24.40936,
3.154644,24.13331,
3.202207,21.02479,
3.252741,19.78877,
3.329174,13.08337,
3.371926,23.39061,
3.41868,21.38827,
3.461798,23.19255,
3.50332,24.08373,
3.544566,24.2446,
3.588235,22.89928,
3.629656,24.14263,
3.671202,24.06947,
3.712216,24.38222,
3.755467,23.12048,
3.79623,24.53229,
3.83515,25.69406,
3.874659,25.3105,
3.918036,23.05332,
3.957744,25.18428,
3.998576,24.49054,
4.039023,24.72359,
4.083124,22.67543,
4.124844,23.96932,
4.165454,24.62442,
4.206778,24.19913,
4.250397,22.92563,
4.291131,24.54903,
4.330673,25.29027,
4.370471,25.12626,
4.413504,23.23841,
4.452967,25.34019,
4.492463,25.31915,
4.532061,25.25361,
4.575872,22.82527,
4.615696,25.11055,
4.653969,26.12767,
4.692526,25.93596,
4.734373,23.8968,
4.773026,25.87061,
4.81126,26.15528,
4.849267,26.3108,
4.891366,23.75325,
4.930361,25.64477,
4.967772,26.72975,
5.006359,25.91553,
5.048428,23.77059,
5.087928,25.31614,
5.127657,25.17047,
5.166742,25.58579,
5.209787,23.2315,
5.248796,25.63524,
5.288634,25.10129,
5.335118,21.51273,
5.381089,21.75313,
5.452788,13.9471,
5.492447,25.2149,
5.534454,23.8055,
5.573555,25.57492,
5.612164,25.90103,
5.651152,25.64853,
5.693075,23.85354,
5.731699,25.8909,
5.76973,26.29399,
5.808413,25.85089,
5.850986,23.48934,
5.887776,27.18101,
5.924687,27.09205,
5.962936,26.14461,
6.003523,24.63868,
6.041335,26.44628,
6.078504,26.90472,
6.116776,26.12883,
6.159524,23.39231,
6.196145,27.30748,
6.233194,26.9907,
6.270713,26.65331,
6.310749,24.97777,
6.34848,26.50284,
6.386178,26.52654,
6.422343,27.6512,
6.462817,24.70771,
6.498723,27.85003,
6.536052,26.78861,
6.572056,27.77523,
6.608398,27.51607,
6.650444,23.78382,
6.687844,26.73732,
6.726097,26.14228,
6.763963,26.40878,
6.806268,23.63775,
6.845447,25.52388,
6.883829,26.05368,
6.921936,26.24252,
6.962424,24.69837,
7.002872,24.72285,
7.040762,26.39226,
7.078427,26.54985,
7.120639,23.69017,
7.160339,25.18841,
7.19965,25.4383,
7.240487,24.4882,
7.283164,23.43139,
7.321829,25.86345,
7.360772,25.67849,
7.399785,25.63254,
7.44228,23.53218,
7.486438,22.64559,
7.530278,22.81059,
7.603023,13.74667,
7.646757,22.86551,
7.68735,24.63485,
7.726437,25.58395,
7.767154,24.55977,
7.810805,22.90872,
7.850913,24.93299,
7.890069,25.539,
7.929388,25.43248,
7.972145,23.38804,
8.011694,25.28547,
8.051147,25.34578,
8.090369,25.49635,
8.131579,24.2656,
8.172285,24.56694,
8.211401,25.56473,
8.250323,25.69215,
8.293226,23.30845,
8.331758,25.95239,
8.371182,25.36539,
8.410058,25.72307,
8.452631,23.48907,
8.49218,25.28496,
8.531569,25.38786,
8.571689,24.92547,
8.615344,22.90647,
8.653767,26.02669,
8.691809,26.28646,
8.729901,26.25216,
8.77167,23.9408,
8.809829,26.20662,
8.848125,26.11191,
8.887663,25.29295,
8.931192,22.9725,
8.969517,26.09358,
9.009051,25.29436,
9.048123,25.59345,
9.089952,23.90726,
9.128538,25.91607,
9.166322,26.46616,
9.203876,26.6279,
9.245593,23.97144,
9.283243,26.55986,
9.321725,25.98651,
9.359997,26.12883,
9.402836,23.34354,
9.439899,26.98036,
9.477698,26.45552,
9.516177,25.98874,
9.5581,23.85326,
9.596588,25.98192,
9.635171,25.91855,
9.673534,26.06631,
9.721167,20.99398,
9.764691,22.97567,
9.836579,13.91061,
9.877245,24.59033,
9.921288,22.70519,
9.961061,25.14331,
10.0016,24.66681,
10.03972,26.23267,
10.08249,23.38071,
10.12069,26.17808,
10.15894,26.14707,
10.19813,25.51333,
10.24029,23.72007,
10.2796,25.43545,
10.3182,25.91211,
10.35565,26.70319,
10.39681,24.29172,
10.43546,25.87576,
10.47421,25.80812,
10.51219,26.32979,
10.55357,24.16439,
10.59199,26.02567,
10.62953,26.64144,
10.66779,26.13764,
10.70937,24.04985,
10.74837,25.63827,
10.78788,25.3112,
10.82759,25.18454,
10.87066,23.21354,
10.91012,25.34816,
10.94914,25.62401,
10.98897,25.10488,
11.03106,23.76042,
11.07055,25.32389,
11.11007,25.30013,
11.14939,25.43565,
11.19243,23.23328,
11.23128,25.73883,
11.27061,25.42517,
11.30917,25.93785,
11.35079,24.02749,
11.38913,26.07793,
11.42837,25.48803,
11.4674,25.61744,
11.50903,24.02454,
11.54863,25.24819,
11.58791,25.46402,
11.6263,26.04729,
11.66819,23.86943,
11.70846,24.8354,
11.74774,25.4563,
11.78859,24.4792,
11.83241,22.8223,
11.8727,24.82129,
11.91309,24.75609,
11.95823,22.15276,
12.00613,20.87918,
12.08026,13.48867,
12.12103,24.53115,
12.16462,22.94046,
12.20475,24.91802,
12.2448,24.96873,
12.28422,25.36951,
12.32874,22.45808,
12.36957,24.49551,
12.41057,24.38674,
12.45043,25.08925,
12.49415,22.87382,
12.53753,23.05295,
12.57816,24.6109,
12.61608,26.37319,
12.65857,23.53622,
12.69793,25.40567,
12.73756,25.22946,
12.77682,25.4731,
12.81875,23.84996,
12.85878,24.98332,
12.89815,25.39496,
12.93687,25.82578,
12.98016,23.10392,
13.01799,26.43216,
13.05775,25.15097,
13.09523,26.6804,
13.13812,23.31432,
13.17625,26.23096,
13.21594,25.19114,
13.25598,24.97789,
13.29729,24.2054,
13.33585,25.93428,
13.37545,25.25393,
13.41531,25.08648,
13.4571,23.92951,
13.49607,25.65885,
