,FPS
0,50.00002,
0.01999999,50.00002,
0.0924755,13.79777,
0.09889349,155.8118,
0.1012913,417.0484,
0.1040233,366.033,
0.106326,434.2729,
0.1088885,390.2439,
0.111075,457.3517,
0.1133395,441.5975,
0.1157201,420.0625,
0.1178819,462.5778,
0.1201066,449.4983,
0.1223185,452.1005,
0.1244535,468.3844,
0.126664,452.386,
0.1287943,469.4173,
0.1314081,382.5852,
0.133635,449.0549,
0.1357852,465.0718,
0.1379966,452.2033,
0.1401869,456.5572,
0.1425687,419.8513,
0.1447926,449.6602,
0.1471473,424.6829,
0.1494059,442.7516,
0.1516603,443.5769,
0.1542869,380.7201,
0.1565577,440.3738,
0.1588105,443.8922,
0.1610382,448.8935,
0.1632871,444.6615,
0.165811,396.2119,
0.1685421,366.1536,
0.1712448,370.0004,
0.1734392,455.705,
0.1755858,465.8533,
0.1778427,443.0853,
0.1800341,456.3298,
0.1823024,440.8581,
0.1844898,457.1636,
0.1866244,468.4714,
0.1888653,446.2504,
0.1909716,474.7663,
0.1930304,485.7196,
0.1950507,494.9756,
0.1971723,471.3427,
0.1993855,451.8341,
0.2014505,484.2611,
0.2035479,476.7809,
0.2055581,497.4637,
0.2075527,501.3536,
0.2096447,478.0116,
0.2116375,501.8064,
0.213787,465.2236,
0.2158191,492.1017,
0.2178812,484.9435,
0.22007,456.8705,
0.2221699,476.213,
0.2243533,458.0019,
0.2264412,478.9508,
0.2285406,476.3255,
0.2310437,399.5052,
0.2333602,431.685,
0.2362875,341.6122,
0.2389686,372.9811,
0.2413279,423.8538,
0.2435869,442.6739,
0.2458521,441.4622,
0.2482771,412.3711,
0.2504787,454.2163,
0.2528468,422.2786,
0.2550073,462.857,
0.2573093,434.4038,
0.2595158,453.2068,
0.2618131,435.2936,
0.2643789,389.7417,
0.2666789,434.7826,
0.2690386,423.7825,
0.2712982,442.5573,
0.2735337,447.3269,
0.2758554,430.7193,
0.2780122,463.6493,
0.2801774,461.8512,
0.2832173,328.9579,
0.2854574,446.4085,
0.2877084,444.2472,
0.2898139,474.9468,
0.2921437,429.2219,
0.2943773,447.7072,
0.296717,427.4058,
0.299108,418.235,
0.3012809,460.2139,
0.3038902,383.245,
0.3061926,434.329,
0.3089832,358.3463,
0.3120225,329.0231,
0.3142516,448.611,
0.3164011,465.2236,
0.3185603,463.1349,
0.3207537,455.9141,
0.3231663,414.4895,
0.3252633,476.8727,
0.327436,460.256,
0.3297957,423.7838,
0.3321043,433.1624,
0.3343561,444.0892,
0.3364426,479.2713,
0.338619,459.4737,
0.3407127,477.6232,
0.3430143,434.4814,
0.3453943,420.1676,
0.3476635,440.6847,
0.3498332,460.8933,
0.3519223,478.6747,
0.3540578,468.274,
0.3562536,455.4153,
0.3583355,480.33,
0.3605325,455.1656,
0.3627346,454.1125,
0.3649787,445.6135,
0.3672683,436.7566,
0.3694413,460.1929,
0.371645,453.7825,
0.3739781,428.6144,
0.3762465,440.8402,
0.3790815,352.733,
0.3817547,374.0835,
0.3839544,454.6084,
0.3861695,451.4467,
0.3883035,468.6037,
0.3905092,453.3699,
0.3929119,416.1985,
0.395063,464.8788,
0.3974288,422.6896,
0.3995381,474.0916,
0.4017008,462.3853,
0.4039195,450.7143,
0.405968,488.1626,
0.4081256,463.4772,
0.4102158,478.4232,
0.4125277,432.5451,
0.4147696,446.0501,
0.4169776,452.8985,
0.4190893,473.5523,
0.4212394,465.0948,
0.4236043,422.8505,
0.4261025,400.2882,
0.4286283,395.914,
0.4310912,406.0259,
0.4333161,449.4583,
0.4357839,405.2191,
0.4380775,435.9956,
0.440491,414.3362,
0.4429987,398.7714,
0.4454705,404.5639,
0.4480403,389.1355,
0.4503739,428.522,
0.4528935,396.8883,
0.4553517,406.8019,
0.4582314,347.2586,
0.4606919,406.4212,
0.4633387,377.8141,
0.4656785,427.3877,
0.4680696,418.2176,
0.4705154,408.8634,
0.4727474,448.0299,
0.4748735,470.3436,
0.4770299,463.7361,
0.4792109,458.5063,
0.4818416,380.1263,
0.4842221,420.08,
0.4864503,448.7921,
0.4887781,429.5903,
0.4909639,457.4985,
0.4934809,397.2984,
0.4956771,455.3316,
0.4977976,471.5869,
0.4998446,488.5208,
0.5018884,489.2848,
0.5049135,330.5677,
0.5071031,456.7035,
0.5093067,453.8029,
0.5115031,455.2904,
0.5138714,422.2444,
0.5161782,433.5005,
0.5184862,433.2755,
0.520715,448.6723,
0.5234746,362.3711,
0.5260478,388.6212,
0.5281738,470.3671,
0.530429,443.4194,
0.5326333,453.6585,
0.5354589,353.9077,
0.53794,403.0469,
0.5407208,359.6083,
0.5430238,434.2167,
0.5452597,447.2475,
0.5475216,442.1066,
0.5496762,464.122,
0.5519954,431.1838,
0.5542571,442.1454,
0.5563826,470.4769,
0.5585104,469.9692,
0.560686,459.6428,
0.5630823,417.3111,
0.5654826,416.6138,
0.5678602,420.5921,
0.5700769,451.122,
0.57232,445.8106,
0.5746651,426.4217,
0.5767438,481.0701,
0.5791018,424.0882,
0.5815528,407.9969,
0.5839501,417.1359,
0.586319,422.1358,
0.5885763,443.0074,
0.5908393,441.8921,
0.5932604,413.0349,
0.5955719,432.6193,
0.5981781,383.7004,
0.6005007,430.5524,
0.6028393,427.6066,
0.6051543,431.9652,
0.6075805,412.1676,
0.6099787,416.9794,
0.6122848,433.6323,
0.6148472,390.259,
0.6170975,444.3857,
0.6193535,443.262,
0.6217369,419.568,
0.6240254,436.9676,
0.6262096,457.834,
0.6284544,445.4742,
0.6310337,387.7019,
0.6333524,431.2761,
0.6356097,443.0074,
0.6377595,465.1592,
0.6398676,474.3609,
0.6419968,469.6595,
0.6443286,428.854,
0.6466316,434.2154,
0.6489959,422.9582,
0.651068,482.6034,
0.6532352,461.4237,
0.6553881,464.4901,
0.6575984,452.428,
0.660057,406.7351,
0.6627409,372.5921,
0.6651723,411.2859,
0.6679535,359.557,
0.6704018,408.4468,
0.6729265,396.0863,
0.6752952,422.1724,
0.6777227,411.9462,
0.680416,371.2922,
0.6829217,399.0894,
0.6853267,415.8011,
0.687758,411.3027,
0.6901028,426.4758,
0.6928291,366.797,
0.6953646,394.3993,
0.6981815,355.0001,
0.7006691,401.994,
0.7032191,392.1569,
0.7057334,397.725,
0.7082969,390.0918,
0.7106578,423.5675,
0.7129715,432.2086,
0.7156537,372.8283,
0.7180586,415.8171,
0.7203742,431.8541,
0.7227311,424.2858,
0.7252466,397.5357,
0.7284021,316.9064,
0.7310156,382.6288,
0.733552,394.2593,
0.7359141,423.3528,
0.7384278,397.8203,
0.7407941,422.5997,
0.7431713,420.6635,
0.7461077,340.5529,
0.7492085,322.4973,
0.7515233,432.0035,
0.7538949,421.6552,
0.7562807,419.1467,
0.7587987,397.1407,
0.7613225,396.2287,
0.7638852,390.2126,
0.7665373,377.0601,
0.7689627,412.3025,
0.7714435,403.0963,
0.7737865,426.8034,
0.7762918,399.1537,
0.778624,428.7798,
0.7811618,394.0414,
0.7837806,381.8543,
0.7867255,339.5703,
