,FPS
0,50.00002,
0.01999999,50.00002,
0.1046785,11.80937,
0.1175221,77.85978,
0.1249748,134.1796,
0.1342061,108.3271,
0.1414801,137.4759,
0.1481066,150.9093,
0.154938,146.3828,
0.1621206,139.2254,
0.1687487,150.8727,
0.1756094,145.7577,
0.1821503,152.8843,
0.1888642,148.9447,
0.1956653,147.0351,
0.2029394,137.474,
0.2099474,142.6941,
0.2163505,156.1743,
0.2227622,155.9649,
0.2292832,153.3508,
0.2359943,149.0068,
0.2435774,131.8722,
0.250584,142.7226,
0.2574498,145.6494,
0.2642967,146.0516,
0.2716533,135.9323,
0.278666,142.5985,
0.2858552,139.0975,
0.2931131,137.7809,
0.3003701,137.798,
0.3079248,132.368,
0.3153356,134.9382,
0.3222454,144.722,
0.3307226,117.9635,
0.3386924,125.4736,
0.3464761,128.4737,
0.3543933,126.3072,
0.3621035,129.6984,
0.3685721,154.5929,
0.3756312,141.6611,
0.3822772,150.4665,
0.3888921,151.1738,
0.3957564,145.6813,
0.4023346,152.0172,
0.4090245,149.4792,
0.4153258,158.6973,
0.4219245,151.5451,
0.4288756,143.862,
0.4357785,144.8667,
0.4432942,133.0547,
0.4503069,142.5985,
0.4576694,135.8234,
0.464892,138.4543,
0.4720904,138.9198,
0.4791139,142.3791,
0.4862196,140.7321,
0.4936006,135.483,
0.5007086,140.6866,
0.5079767,137.5876,
0.5150869,140.6431,
0.5220689,143.2254,
0.5292464,139.3242,
0.5361724,144.3835,
0.5433418,139.4817,
0.5502655,144.4315,
0.5574671,138.858,
0.5642631,147.1453,
0.5711915,144.3334,
0.5783708,139.2895,
0.5856425,137.5193,
0.5924985,145.8578,
0.5993587,145.7683,
0.6051246,173.4334,
0.6111249,166.6584,
0.6169283,172.3127,
0.6226679,174.2282,
0.6289859,158.278,
0.6353378,157.4332,
0.6415628,160.6426,
0.6472382,176.1989,
0.6527474,181.5146,
0.6584376,175.7408,
0.6650272,151.7543,
0.6709126,169.9119,
0.6767201,172.191,
0.6825021,172.9507,
0.687958,183.2877,
0.6938388,170.045,
0.6993047,182.9524,
0.704988,175.9539,
0.7108571,170.384,
0.7163698,181.3994,
0.7219467,179.3111,
0.7277524,172.2444,
0.7332504,181.8845,
0.7387866,180.6292,
0.7444046,177.9993,
0.7498942,182.1625,
0.7553093,184.669,
0.7611504,171.2006,
0.7666709,181.143,
0.7721886,181.2349,
0.7777844,178.7053,
0.7832185,184.0232,
0.788604,185.6837,
0.7942967,175.6637,
0.7996157,188.0051,
0.8051719,179.9791,
0.8112745,163.8648,
0.81705,173.1451,
0.8226914,177.261,
0.8282827,178.8491,
0.8336128,187.6139,
0.838995,185.7976,
0.8444713,182.6049,
0.8499783,181.587,
0.8558498,170.3142,
0.8620629,160.9504,
0.8681559,164.1226,
0.8742698,163.5618,
0.879682,184.7677,
0.8854229,174.1887,
0.8910452,177.8631,
0.8962924,190.5778,
0.9023711,164.5089,
0.9083795,166.4337,
0.914573,161.4595,
0.9205252,168.0052,
0.9264744,168.0898,
0.9325603,164.3141,
0.9379004,187.2626,
0.9434711,179.5105,
0.9486717,192.2857,
0.9539252,190.3493,
0.9591806,190.2805,
0.9645543,186.0914,
0.9697871,191.1022,
0.9754607,176.255,
0.9807508,189.0323,
0.9865241,173.2112,
0.9923899,170.4797,
0.9975747,192.8715,
1.002771,192.4446,
1.00824,182.8555,
1.013338,196.1594,
1.018454,195.4384,
1.023891,183.9519,
1.029189,188.7436,
1.034384,192.4816,
1.039724,187.2624,
1.04504,188.1043,
1.050148,195.7751,
1.055419,189.7389,
1.061056,177.4025,
1.066179,195.1751,
1.071357,193.1248,
1.076545,192.7637,
1.0818,190.302,
1.086879,196.8931,
1.092115,190.9856,
1.097082,201.3124,
1.102033,202,
1.107483,183.4626,
1.112486,199.8799,
1.117486,200.0082,
1.122688,192.2375,
1.128161,182.7217,
1.133177,199.3581,
1.138335,193.8587,
1.143563,191.2703,
1.149144,179.1857,
1.154787,177.2107,
1.159907,195.3315,
1.164913,199.7325,
1.16995,198.5545,
1.17503,196.8464,
1.180085,197.828,
1.185364,189.4119,
1.190742,185.9634,
1.195794,197.9492,
1.201301,181.5805,
1.206423,195.2323,
1.211697,189.6096,
1.216737,198.4204,
1.221735,200.0681,
1.226809,197.0716,
1.231848,198.4757,
1.236748,204.0816,
1.241951,192.193,
1.246983,198.7242,
1.252067,196.6994,
1.257327,190.0852,
1.262338,199.565,
1.267343,199.8123,
1.272471,195.023,
1.277805,187.4589,
1.282838,198.6847,
1.287781,202.3391,
1.292937,193.9186,
1.297935,200.0961,
1.302974,198.464,
1.308967,166.8361,
1.314488,181.1365,
1.319377,204.5366,
1.324574,192.4189,
1.329494,203.2645,
1.334605,195.6525,
1.339553,202.1102,
1.344954,185.1405,
1.34991,201.8041,
1.354803,204.3443,
1.36009,189.1469,
1.365204,195.5416,
1.370155,201.9875,
1.375448,188.9111,
1.380419,201.179,
1.385381,201.5315,
1.390725,187.1293,
1.395521,208.494,
1.400335,207.7576,
1.405456,195.2629,
1.410542,196.595,
1.415484,202.3638,
1.420571,196.5832,
1.425667,196.2325,
1.430558,204.4489,
1.435576,199.2787,
1.440785,191.9828,
1.445668,204.7921,
1.450588,203.2767,
1.455605,199.3105,
1.460852,190.5778,
1.466561,175.1651,
1.471882,187.9415,
1.476882,200.0043,
1.481707,207.2493,
1.486455,210.6108,
1.49149,198.6017,
1.496217,211.5374,
1.501337,195.3123,
1.50624,203.9861,
1.511408,193.4834,
1.516392,200.6541,
1.521297,203.8611,
1.526157,205.7572,
1.53117,199.4855,
1.535901,211.3673,
1.541058,193.9149,
1.546032,201.0374,
1.550975,202.3104,
1.555668,213.0969,
1.560698,198.7953,
1.565665,201.3167,
1.570603,202.511,
1.575695,196.4174,
1.580858,193.6708,
1.585751,204.3654,
1.590844,196.3709,
1.595791,202.1304,
1.600696,203.857,
1.605495,208.3853,
1.61065,193.9791,
1.615503,206.0877,
1.620976,182.7151,
1.626673,175.5187,
1.631816,194.4466,
1.636666,206.1814,
1.64219,181.0217,
1.647045,205.9944,
1.651983,202.4785,
1.657151,193.5245,
1.662355,192.1637,
1.667236,204.8465,
1.671979,210.8594,
1.677015,198.5466,
1.681978,201.4909,
1.686715,211.1219,
1.691946,191.1718,
1.696685,210.9969,
1.701615,202.8359,
1.706756,194.5297,
1.71167,203.4837,
1.716532,205.6852,
1.721626,196.3056,
1.726756,194.9241,
1.731629,205.2502,
1.736407,209.2927,
1.742114,175.2203,
1.746893,209.2313,
1.751664,209.5952,
1.756811,194.2918,
1.761801,200.3928,
1.766538,211.1127,
1.771525,200.5334,
1.776571,198.1533,
1.781689,195.4157,
1.786474,208.9558,
1.791558,196.7186,
1.796416,205.8334,
1.801138,211.7882,
1.805769,215.9406,
1.810821,197.9257,
1.815563,210.8815,
1.820547,200.6583,
1.82563,196.7147,
1.830369,211.0417,
1.835211,206.522,
1.84036,194.2162,
1.84518,207.469,
1.850092,203.5747,
1.855111,199.2151,
