,FPS
0,50.00002,
0.01999999,50.00002,
0.1775129,6.348686,
0.2714813,10.64187,
0.3862675,8.711848,
0.4896113,9.676439,
0.5777637,11.34399,
0.6650548,11.45592,
0.7528341,11.39221,
0.8399126,11.48389,
0.9274692,11.42118,
1.014341,11.51128,
1.101426,11.48303,
1.188623,11.46824,
1.276123,11.4286,
1.363522,11.44178,
1.450362,11.51534,
1.537328,11.49876,
1.62465,11.45188,
1.711242,11.54836,
1.798221,11.4971,
1.885663,11.4361,
1.972466,11.52037,
2.058842,11.57726,
2.147037,11.33856,
2.234485,11.43539,
2.321003,11.55824,
2.40892,11.37445,
2.494932,11.62622,
2.581903,11.49806,
2.667723,11.65236,
2.75452,11.5211,
2.842435,11.3746,
2.92975,11.4528,
3.017616,11.38095,
3.104268,11.54041,
3.190123,11.64764,
3.276984,11.51259,
3.363459,11.56405,
3.450716,11.46043,
3.537625,11.50629,
3.624305,11.53662,
3.710021,11.66649,
3.797154,11.47664,
3.883883,11.53018,
3.971197,11.45298,
4.058623,11.43819,
4.146583,11.36879,
4.233554,11.49814,
4.320681,11.47749,
4.406621,11.63602,
4.493054,11.56959,
4.580712,11.40798,
4.668207,11.42921,
4.754824,11.54516,
4.842443,11.41297,
4.929565,11.47817,
5.01638,11.51879,
5.103768,11.44315,
5.1915,11.3984,
5.279455,11.36949,
5.367065,11.41421,
5.454806,11.39715,
5.542067,11.45986,
5.629334,11.45909,
5.716697,11.44649,
5.803026,11.58355,
5.890229,11.46755,
5.978059,11.38558,
6.064794,11.52942,
6.151074,11.59012,
6.238626,11.4219,
6.326409,11.39167,
6.414003,11.41628,
6.500187,11.60308,
6.586761,11.55083,
6.67395,11.46936,
6.760597,11.54111,
6.846294,11.66888,
6.933891,11.41601,
7.021504,11.41379,
7.108934,11.43774,
7.195098,11.60571,
7.281816,11.53164,
7.369903,11.35244,
7.45617,11.59196,
7.543118,11.50122,
7.630343,11.46447,
7.716982,11.54213,
7.804335,11.44784,
7.891028,11.53493,
7.978662,11.41117,
8.066133,11.43227,
8.153627,11.42939,
8.239971,11.58161,
8.326364,11.57502,
8.413706,11.44927,
8.500984,11.45756,
8.58851,11.42524,
8.675644,11.47658,
8.763025,11.44403,
8.849233,11.59992,
8.936287,11.48708,
9.02367,11.44385,
9.11054,11.51141,
9.197982,11.43626,
9.285064,11.48351,
9.371921,11.5132,
9.459477,11.42111,
9.545178,11.6685,
9.633307,11.34705,
9.720319,11.49263,
9.807504,11.46993,
9.893729,11.59743,
9.980663,11.50297,
10.06765,11.49664,
10.15508,11.43665,
10.2413,11.5986,
10.32837,11.48491,
10.41565,11.45758,
10.50254,11.50908,
10.58917,11.54329,
10.67473,11.68695,
10.7615,11.52584,
10.85058,11.22571,
10.94722,10.34695,
11.03509,11.38055,
11.12211,11.49178,
11.20921,11.48174,
11.29653,11.45142,
11.38432,11.39136,
11.47162,11.45482,
11.55739,11.65869,
11.64409,11.53357,
11.73168,11.41717,
11.81859,11.50616,
11.90589,11.45428,
11.99309,11.46851,
12.08072,11.41124,
12.16719,11.56484,
12.25453,11.44999,
12.34098,11.5671,
12.42864,11.40749,
12.51561,11.49826,
12.60246,11.51384,
12.68992,11.43449,
12.77655,11.54313,
12.86388,11.45058,
12.96678,9.718381,
13.06394,10.29249,
13.15815,10.61463,
13.2594,9.876553,
13.35673,10.27355,
13.44538,11.28065,
13.53535,11.11543,
13.62331,11.36796,
13.71277,11.17882,
13.80497,10.84574,
13.8935,11.29524,
13.98317,11.15214,
14.07289,11.14661,
14.16363,11.01975,
14.25278,11.21662,
14.34168,11.24909,
14.43007,11.31336,
14.51813,11.3566,
14.60697,11.25601,
14.69984,10.76793,
14.79804,10.18273,
14.88706,11.23429,
14.9744,11.44885,
