,FPS
0,50.00002,
0.01999999,50.00002,
0.07186679,19.28016,
0.08389329,83.1497,
0.09313188,108.2415,
0.1012172,123.6812,
0.1088609,130.8267,
0.1168025,125.9193,
0.1242595,134.1022,
0.131866,131.4664,
0.1392856,134.7782,
0.1483349,110.5058,
0.161999,73.18447,
0.1702222,121.6072,
0.1777082,133.5827,
0.1854278,129.5404,
0.193346,126.2914,
0.2013048,125.6471,
0.2089412,130.9517,
0.2170043,124.0218,
0.2252985,120.5661,
0.233878,116.5569,
0.2416194,129.1756,
0.2499451,120.11,
0.2578499,126.5053,
0.2667044,112.9369,
0.2747218,124.7288,
0.2828162,123.5422,
0.2908225,124.9016,
0.2989321,123.3106,
0.3108012,84.2524,
0.3190423,121.343,
0.3271715,123.0133,
0.3351951,124.6324,
0.3433119,123.2012,
0.3512326,126.2515,
0.3589672,129.2891,
0.3665094,132.5873,
0.3766255,98.85233,
0.3849391,120.2849,
0.3936201,115.1941,
0.4035138,101.0744,
0.4121571,115.6965,
0.4218297,103.3848,
0.4307992,111.4889,
0.4407159,100.84,
0.4484736,128.9041,
0.4565804,123.3532,
0.4689016,81.16096,
0.4772413,119.9083,
0.4867119,105.5899,
0.4960572,107.0056,
0.5051196,110.346,
0.5135,119.326,
0.5218911,119.1739,
0.5303772,117.8398,
0.5384785,123.4369,
0.5464281,125.7925,
0.5548406,118.8707,
0.5637127,112.7129,
0.5725259,113.4661,
0.5813561,113.2478,
0.5903592,111.0728,
0.5991811,113.3543,
0.6091884,99.92699,
0.6227161,73.9224,
0.6319333,108.4928,
0.6409088,111.4145,
0.6497755,112.7815,
0.6589544,108.9455,
0.6675269,116.6521,
0.6764449,112.1328,
0.6851102,115.4028,
0.6940968,111.2768,
0.7027749,115.2325,
0.7117022,112.016,
0.7201991,117.6899,
0.72923,110.731,
0.7370445,127.9673,
0.744778,129.3075,
0.7521863,134.9838,
0.7599321,129.1021,
0.7717738,84.44737,
0.7807611,111.2681,
0.7882907,132.8092,
0.7956228,136.3866,
0.8032208,131.6136,
0.8107422,132.954,
0.8182864,132.5522,
0.8258683,131.893,
0.8335604,130.0035,
0.8408803,136.6138,
0.8487841,126.5214,
0.8561284,136.1601,
0.8637818,130.6609,
0.8718559,123.8528,
0.8798042,125.8131,
0.8875412,129.249,
0.8953007,128.8744,
0.9032327,126.0716,
0.9116951,118.1698,
0.9235264,84.52157,
0.9315975,123.8988,
0.939334,129.2574,
0.9469207,131.8096,
0.9546276,129.7538,
0.9620602,134.5425,
0.9696927,131.0187,
0.9772121,132.9893,
0.9849079,129.941,
0.99219,137.323,
0.9998364,130.7805,
1.007209,135.6336,
1.015582,119.4372,
1.02345,127.0906,
1.031265,127.9607,
1.038724,134.0662,
1.047439,114.75,
1.05467,138.2953,
1.062591,126.2371,
1.073695,90.06008,
1.081329,130.9912,
1.088685,135.9416,
1.096225,132.6366,
1.103859,130.9826,
1.111265,135.033,
1.11875,133.5934,
1.125944,139.0105,
1.133402,134.0717,
1.140691,137.1967,
1.149546,112.9331,
1.157031,133.5951,
1.164676,130.8147,
1.17196,137.2816,
1.179442,133.6488,
1.186641,138.9063,
1.194147,133.2356,
1.201333,139.1672,
1.20878,134.2715,
1.216265,133.6004,
1.228551,81.3968,
1.236094,132.5697,
1.243727,131.005,
1.250974,137.9919,
1.258829,127.3091,
1.266873,124.3131,
1.274137,137.6672,
1.281646,133.1683,
1.289104,134.0878,
1.296669,132.1982,
1.305229,116.8101,
1.312593,135.8124,
1.31974,139.911,
1.326965,138.4064,
1.334227,137.7012,
1.34129,141.5808,
1.348702,134.9218,
1.35673,124.5547,
1.365039,120.3659,
1.372314,137.4419,
1.382951,94.01682,
1.39049,132.6453,
1.397775,137.2533,
1.405038,137.6918,
1.412791,128.9857,
1.419926,140.1581,
1.427418,133.472,
1.434532,140.5719,
1.44226,129.3912,
1.449552,137.1347,
1.457408,127.2994,
1.465113,129.7791,
1.472656,132.5785,
1.479957,136.9731,
1.488289,120.0178,
1.496258,125.4863,
1.504489,121.4846,
1.511987,133.3777,
1.519858,127.039,
1.52742,132.2506,
1.53839,91.15443,
1.546552,122.5145,
1.554215,130.5074,
1.561655,134.4104,
1.569356,129.8516,
1.576931,132.0044,
1.584594,130.4989,
1.592016,134.7437,
1.600785,114.0367,
1.608489,129.7926,
1.616406,126.3169,
1.623693,137.2306,
1.632146,118.2942,
1.639698,132.4293,
1.647636,125.9747,
1.655032,135.2029,
1.662637,131.4975,
1.6699,137.6728,
1.67726,135.8788,
1.684523,137.6728,
1.696165,85.90181,
1.703704,132.6295,
1.711191,133.5667,
1.718432,138.1083,
1.725687,137.8378,
1.732916,138.326,
1.740638,129.5085,
1.748864,121.5554,
1.756031,139.5303,
1.763189,139.7136,
1.770707,133.0159,
1.777902,138.9757,
1.786683,113.8848,
1.793841,139.7,
1.80125,134.9674,
1.809294,124.3209,
1.81674,134.3022,
1.823792,141.7997,
1.83134,132.4837,
1.838663,136.571,
1.849716,90.47238,
1.858102,119.235,
1.865655,132.4117,
1.872965,136.7877,
1.880716,129.0207,
1.888133,134.8235,
1.896358,121.5791,
1.90354,139.237,
1.911878,119.9315,
1.919164,137.2494,
1.927041,126.9503,
1.934448,135.0148,
1.941988,132.6242,
1.949598,131.4112,
1.957168,132.1039,
1.964597,134.6075,
1.972187,131.7367,
1.979878,130.0356,
1.987511,131.0084,
1.996275,114.0954,
2.007676,87.71625,
2.015572,126.6463,
2.023461,126.7524,
2.03134,126.9213,
2.03899,130.7121,
2.046619,131.0908,
2.05418,132.249,
2.061596,134.8398,
2.069009,134.9,
2.076496,133.5702,
2.08431,127.9786,
2.091665,135.9545,
2.0993,130.9758,
2.107472,122.3721,
2.115869,119.0887,
2.123041,139.4272,
2.13063,131.7732,
2.137643,142.5923,
2.145007,135.7884,
2.152465,134.0932,
2.163251,92.71358,
2.170578,136.4703,
2.177679,140.8313,
2.184528,146.013,
2.191689,139.6394,
2.199011,136.5729,
2.206144,140.2072,
2.213555,134.9308,
2.221372,127.9165,
2.22973,119.6516,
2.237069,136.2583,
2.244314,138.0186,
2.25162,136.8739,
2.259754,122.9528,
2.267213,134.0627,
2.274741,132.841,
2.281724,143.1946,
2.288881,139.7351,
2.296371,133.5096,
2.303416,141.9427,
2.314357,91.39849,
2.321684,136.474,
2.329251,132.1545,
2.336258,142.7206,
2.343526,137.5932,
2.350794,137.5762,
2.357922,140.2997,
2.365123,138.8754,
2.372408,137.2533,
2.37958,139.4389,
2.386816,138.2036,
2.394029,138.6309,
2.401366,136.2862,
2.409433,123.9679,
2.417367,126.0478,
2.424588,138.4734,
2.431922,136.3588,
2.438939,142.5049,
2.446368,134.6168,
2.454464,123.5101,
2.465803,88.1897,
2.473123,136.6195,
2.480639,133.0477,
2.488554,126.3455,
2.496202,130.7429,
2.503349,139.9306,
2.510767,134.7999,
2.517793,142.3345,
2.525175,135.472,
2.532349,139.3922,
2.539593,138.0395,
2.546937,136.1582,
2.555273,119.9688,
2.562509,138.194,
