,FPS
0,50.00002,
0.01999999,50.00002,
0.08591069,15.17204,
0.1383635,19.06476,
0.1556229,57.93943,
0.1737911,55.04123,
0.1919064,55.20196,
0.2096777,56.2705,
0.2270369,57.60635,
0.2460473,52.60278,
0.2653083,51.91839,
0.2824578,58.31072,
0.3018461,51.5775,
0.3223427,48.78858,
0.3407849,54.22347,
0.3592752,54.08241,
0.3820599,43.8891,
0.4020271,50.08214,
0.4217346,50.74209,
0.4412845,51.15115,
0.4612181,50.16656,
0.4809281,50.73567,
0.5007533,50.44084,
0.5203359,51.06575,
0.5382266,55.89495,
0.5533516,66.1157,
0.5687473,64.95321,
0.5841531,64.91063,
0.5995197,65.07619,
0.6145718,66.43592,
0.62932,67.80489,
0.6445298,65.74708,
0.6596512,66.13144,
0.6752155,64.2496,
0.6913435,62.00395,
0.7078982,60.40581,
0.7242725,61.07132,
0.7404178,61.93752,
0.7560924,63.7975,
0.7723834,61.38359,
0.7888972,60.5554,
0.8049844,62.16124,
0.8206973,63.64196,
0.836056,65.10966,
0.8528389,59.58446,
0.8695098,59.98477,
0.8857009,61.76233,
0.9004966,67.58721,
0.9165365,62.34452,
0.932756,61.65418,
0.9481984,64.75679,
0.962801,68.48095,
0.9776725,67.24271,
0.998999,46.89001,
1.019541,48.67981,
1.054499,28.60641,
1.091915,26.72589,
1.109389,57.2282,
1.1251,63.64968,
1.141667,60.36168,
1.157863,61.74249,
1.173948,62.17126,
1.190342,60.99793,
1.207118,59.60826,
1.224029,59.13485,
1.241114,58.53051,
1.257983,59.28069,
1.273644,63.8537,
1.288967,65.26094,
1.304314,65.15762,
1.320122,63.25951,
1.336311,61.76998,
1.352492,61.80162,
1.367829,65.20308,
1.384316,60.65091,
1.400587,61.46017,
1.416609,62.41379,
1.43274,61.99243,
1.44917,60.86613,
1.46634,58.23909,
1.482695,61.14599,
1.497843,66.0153,
1.512727,67.18218,
1.528878,61.91681,
1.544119,65.61551,
1.559232,66.16471,
1.574265,66.52251,
1.589677,64.88535,
1.604845,65.92655,
1.621026,61.80087,
1.637679,60.05032,
1.654101,60.89318,
1.670083,62.57116,
1.686055,62.608,
1.701285,65.65816,
1.716394,66.18793,
1.731391,66.68044,
1.747869,60.6855,
1.76291,66.4876,
1.779271,61.11797,
1.794411,66.05282,
1.809624,65.73367,
1.825943,61.27564,
1.842202,61.50593,
1.858024,63.20352,
1.874118,62.13535,
1.889261,66.03535,
1.904293,66.52609,
1.919552,65.53379,
1.935395,63.11897,
1.951427,62.3772,
1.966559,66.08338,
1.982685,62.01281,
1.99877,62.17126,
2.014973,61.71581,
2.030533,64.26572,
2.045491,66.85788,
2.060443,66.87844,
2.082942,44.44603,
2.103816,47.90603,
2.137482,29.70418,
2.16631,34.68766,
2.182425,62.05398,
2.198963,60.46715,
2.214243,65.44675,
2.229439,65.80377,
2.245029,64.14697,
2.261484,60.76996,
2.278031,60.43354,
2.294753,59.80145,
2.311474,59.80469,
2.327688,61.67471,
2.342947,65.5368,
2.35919,61.56765,
2.375723,60.48289,
2.391734,62.4563,
2.407348,64.04755,
2.423376,62.39003,
2.438781,64.91189,
2.454324,64.33888,
2.470648,61.25986,
2.486773,62.01397,
2.501999,65.67799,
2.516885,67.17946,
2.531857,66.79181,
2.54731,64.71026,
2.563457,61.92986,
2.579473,62.43952,
2.594536,66.38826,
2.61063,62.13458,
2.627366,59.74929,
2.645709,54.51701,
2.662999,57.83789,
2.678154,65.98484,
2.69322,66.3724,
2.708628,64.90305,
2.723949,65.27114,
2.740333,61.03442,
2.755714,65.01527,
2.771078,65.08892,
2.787686,60.20904,
2.802989,65.34583,
2.817992,66.65643,
2.833312,65.27586,
2.848955,63.9239,
2.865304,61.16696,
2.880525,65.69869,
2.895615,66.26995,
2.910931,65.28821,
2.925908,66.77082,
2.940948,66.48936,
2.956507,64.27026,
2.971566,66.40766,
2.986935,65.06266,
3.002165,65.66204,
3.017258,66.25371,
3.032401,66.03885,
3.047199,67.57899,
3.061919,67.93153,
3.077555,63.95705,
3.093018,64.67132,
3.108598,64.18487,
3.124253,63.87654,
3.145639,46.75803,
3.166473,48.00054,
3.201245,28.75844,
3.230909,33.71067,
3.246205,65.37786,
3.262521,61.28916,
3.277916,64.9553,
3.293883,62.63034,
3.31024,61.13704,
3.325562,65.26478,
3.341074,64.46455,
3.357074,62.50077,
3.373619,60.43975,
3.389381,63.44616,
3.404734,65.13299,
3.420046,65.3074,
3.435266,65.70129,
3.450005,67.85137,
3.466137,61.98551,
3.481744,64.07587,
3.497703,62.66252,
3.513639,62.74825,
3.52965,62.4563,
3.545345,63.71699,
3.560136,67.60868,
3.576193,62.27774,
3.59113,66.94964,
3.606371,65.61206,
3.621631,65.52737,
3.636787,65.98309,
3.653213,60.8802,
3.669784,60.34312,
3.684974,65.83407,
3.700888,62.83813,
3.716079,65.82891,
3.731532,64.7115,
3.746628,66.24139,
3.761884,65.54885,
3.777783,62.89899,
3.793964,61.79973,
3.809265,65.35693,
3.82673,57.25442,
3.842974,61.56157,
3.858778,63.27672,
3.875334,60.4007,
3.890515,65.87224,
3.905946,64.80377,
3.92259,60.08208,
3.938055,64.66172,
3.953182,66.10741,
3.968907,63.5922,
3.985567,60.02509,
4.000878,65.31338,
4.015887,66.62358,
4.03148,64.13423,
4.046553,66.34291,
4.061597,66.47034,
4.077104,64.49075,
4.093545,60.82208,
4.109872,61.2471,
4.126009,61.96978,
4.142418,60.9418,
4.158159,63.52997,
4.173436,65.45488,
4.189953,60.54441,
4.212574,44.20789,
4.232161,51.05478,
4.265994,29.55651,
4.295605,33.77135,
4.313663,55.37649,
4.333905,49.40126,
4.350394,60.6487,
4.367049,60.04166,
4.383365,61.28916,
4.399645,61.42582,
4.415372,63.58369,
4.430865,64.54652,
4.447239,61.07206,
4.462709,64.64084,
4.479248,60.46278,
4.494998,63.49489,
4.511346,61.16545,
4.527807,60.75002,
4.543233,64.82687,
4.559746,60.56018,
4.576155,60.94254,
4.592284,61.99973,
4.608862,60.31764,
4.624121,65.53725,
4.639345,65.68747,
4.654572,65.66809,
4.670886,61.29893,
4.687434,60.43171,
4.702978,64.33351,
4.719059,62.18441,
4.73516,62.1091,
4.750236,66.33016,
4.765258,66.56815,
4.781384,62.0136,
4.797295,62.8488,
4.813254,62.66057,
4.829398,61.94022,
4.84439,66.70224,
4.859474,66.29542,
4.876796,57.73238,
4.89318,61.03479,
4.909208,62.39003,
4.924655,64.73499,
4.940085,64.80839,
4.954999,67.05469,
4.970466,64.65253,
4.985422,66.86504,
5.000566,66.02927,
5.016166,64.10542,
5.032137,62.61036,
5.048079,62.72976,
5.064123,62.32976,
5.079186,66.38429,
5.094042,67.31242,
5.109347,65.34071,
5.12534,62.52617,
5.140646,65.33472,
5.155684,66.50129,
5.171286,64.09188,
5.187763,60.69176,
5.204274,60.56533,
5.21945,65.89176,
5.234542,66.26115,
5.249509,66.81454,
5.264359,67.33691,
5.285429,47.46128,
5.305039,50.99545,
5.340179,28.45695,
