,FPS
0,50.00002,
0.01999999,50.00002,
0.0722247,19.14803,
0.08542849,75.73579,
0.09435409,112.0373,
0.1040152,103.5079,
0.113444,106.0581,
0.122627,108.8969,
0.1323132,103.2396,
0.1416836,106.719,
0.1508973,108.5341,
0.1601613,107.9447,
0.1690304,112.751,
0.17941,96.34284,
0.1871641,128.964,
0.1960088,113.0621,
0.203363,135.9767,
0.2119701,116.1832,
0.231282,51.78153,
0.2397613,117.9342,
0.2488943,109.493,
0.2569105,124.7474,
0.2692345,81.14248,
0.2782601,110.796,
0.2865473,120.668,
0.2947815,121.4447,
0.3041575,106.6553,
0.3128143,115.5161,
0.321538,114.6302,
0.3310356,105.2898,
0.3408767,101.6147,
0.3503707,105.3297,
0.3601072,102.7063,
0.3707163,94.25871,
0.3796332,112.1466,
0.3877396,123.3593,
0.3956641,126.1909,
0.4031868,132.931,
0.4119566,114.0277,
0.4203433,119.2364,
0.4295825,108.2345,
0.4377459,122.498,
0.4460748,120.0638,
0.4539778,126.5343,
0.462297,120.2038,
0.4702918,125.0813,
0.4786424,119.7519,
0.4863186,130.2727,
0.4941361,127.9182,
0.5021123,125.3729,
0.5105114,119.0604,
0.5199117,106.3796,
0.5288238,112.207,
0.537413,116.4253,
0.5462154,113.6054,
0.5545685,119.716,
0.5631991,115.8668,
0.5715375,119.9271,
0.5802066,115.3523,
0.5900192,101.9098,
0.5988943,112.6747,
0.6075975,114.9003,
0.6163485,114.2727,
0.6253551,111.0296,
0.6339849,115.8776,
0.6436413,103.5583,
0.653077,105.9805,
0.6616542,116.5881,
0.6712215,104.5227,
0.6807915,104.4932,
0.6893569,116.7487,
0.6977595,119.0108,
0.7048449,141.1354,
0.71218,136.3307,
0.7202443,124.0033,
0.7275899,136.1359,
0.7357575,122.4351,
0.7431147,135.9213,
0.7505098,135.2246,
0.7577664,137.8056,
0.7659147,122.725,
0.7745041,116.4225,
0.7827294,121.5761,
0.7898996,139.4661,
0.7973163,134.8309,
0.8053987,123.7256,
0.8133079,126.4351,
0.8203505,141.993,
0.8287681,118.7988,
0.8358184,141.8378,
0.8433563,132.663,
0.8513678,124.8205,
0.8599339,116.7392,
0.8681587,121.5835,
0.8754602,136.9583,
0.8829029,134.3598,
0.8902536,136.0414,
0.8979034,130.7223,
0.9069843,110.1213,
0.9145446,132.2698,
0.9217568,138.6539,
0.9291281,135.6614,
0.9362212,140.982,
0.943869,130.7566,
0.9508222,143.8186,
0.9592296,118.9429,
0.9672359,124.9016,
0.9757613,117.2965,
0.9838793,123.1831,
0.9920545,122.3212,
0.9990532,142.8836,
1.007029,125.384,
1.015066,124.4183,
1.023356,120.6258,
1.030654,137.022,
1.037817,139.6161,
1.046678,112.8464,
1.053909,138.2955,
1.061353,134.3472,
1.069609,121.1196,
1.078102,117.7454,
1.085228,140.3193,
1.092607,135.5289,
1.099952,136.1378,
1.107345,135.2741,
1.114719,135.6134,
1.121686,143.5194,
1.130198,117.4909,
1.13731,140.5995,
1.146108,113.6686,
1.153108,142.849,
1.161841,114.5148,
1.168918,141.2847,
1.176633,129.6311,
1.184598,125.5461,
1.193259,115.4575,
1.201372,123.2574,
1.210413,110.611,
1.219235,113.3504,
1.227935,114.9438,
1.234867,144.2502,
1.242643,128.5991,
1.250725,123.7334,
1.259419,115.0311,
1.268428,110.9989,
1.277226,113.6635,
1.285196,125.4659,
1.296456,88.81309,
1.304515,124.0725,
1.313259,114.3694,
1.321331,123.8835,
1.328631,136.99,
1.335712,141.2251,
1.343029,136.6718,
1.350146,140.5008,
1.358668,117.3419,
1.365858,139.0878,
1.373075,138.5483,
1.380148,141.3969,
1.387315,139.5323,
1.395525,121.7923,
1.402625,140.851,
1.410122,133.3938,
1.418833,114.7947,
1.425879,141.9206,
1.434107,121.5391,
1.442221,123.2454,
1.450444,121.6086,
1.458651,121.8487,
1.46585,138.9121,
1.474018,122.42,
1.48146,134.3652,
1.489534,123.8605,
1.497447,126.3839,
1.504856,134.9618,
1.513159,120.4341,
1.520145,143.1577,
1.527695,132.4363,
1.534652,143.7505,
1.542132,133.6916,
1.549264,140.2092,
1.556506,138.0815,
1.563524,142.501,
1.570659,140.1502,
1.577929,137.544,
1.585017,141.0955,
1.59227,137.8607,
1.599214,144.0154,
1.607785,116.6753,
1.615407,131.1872,
1.623573,122.4725,
1.631757,122.1911,
1.640035,120.8006,
1.647347,136.754,
1.654419,141.4108,
1.661648,138.3241,
1.668759,140.6272,
1.676102,136.1841,
1.683193,141.0258,
1.690585,135.2722,
1.697706,140.4436,
1.706197,117.7704,
1.713392,138.9912,
1.720661,137.5685,
1.728605,125.8781,
1.736455,127.3885,
1.744948,117.7398,
1.753279,120.0307,
1.761064,128.4605,
1.769227,122.5054,
1.776556,136.448,
1.783694,140.0835,
1.790806,140.6054,
1.798013,138.7656,
1.80502,142.7021,
1.812829,128.0541,
1.820043,138.6214,
1.827864,127.8707,
1.836352,117.8161,
1.844148,128.2594,
1.851252,140.7698,
1.858827,132.0044,
1.865706,145.37,
1.873232,132.8904,
1.880245,142.576,
1.887509,137.6747,
1.894685,139.3417,
1.901729,141.981,
1.910159,118.6211,
1.91734,139.2506,
1.924737,135.1973,
1.931806,141.4507,
1.939086,137.3758,
1.946651,132.172,
1.953864,138.6482,
1.961975,123.2924,
1.970086,123.2924,
1.978545,118.2104,
1.986567,124.6541,
1.994836,120.9335,
2.002195,135.8899,
2.009501,136.8869,
2.017777,120.8196,
2.02488,140.7896,
2.032542,130.5227,
2.039618,141.3228,
2.047688,123.905,
2.05488,139.0472,
2.062286,135.033,
2.069439,139.7878,
2.076558,140.479,
2.083564,142.741,
2.090821,137.7942,
2.098428,131.463,
2.105428,142.8408,
2.113715,120.6798,
2.120772,141.6971,
2.12851,129.2257,
2.135521,142.6473,
2.143902,119.3161,
2.152086,122.1792,
2.159327,138.114,
2.166353,142.3183,
2.174577,121.6028,
2.181719,140.0226,
2.188869,139.8504,
2.196682,127.9869,
2.204913,121.4919,
2.212142,138.3451,
2.220129,125.2066,
2.228036,126.459,
2.235159,140.3923,
2.242588,134.6185,
2.250721,122.9422,
2.258043,136.5804,
2.265228,139.1904,
2.273943,114.7328,
2.28216,121.7064,
2.290467,120.3804,
2.297554,141.0994,
2.30469,140.1346,
2.311938,137.9749,
2.319887,125.8035,
2.327285,135.1626,
2.334484,138.9177,
2.3416,140.5264,
2.34958,125.3055,
2.357892,120.3138,
2.364986,140.9701,
2.373064,123.7869,
2.380177,140.5817,
2.387571,135.243,
2.394825,137.853,
2.402128,136.9301,
2.40926,140.2211,
2.41684,131.9209,
2.424227,135.3711,
2.43175,132.9416,
2.438857,140.6965,
2.446128,137.5365,
2.454287,122.561,
2.461682,135.232,
2.469664,125.2756,
2.477475,128.0214,
2.484474,142.8939,
2.491743,137.5573,
2.498943,138.9023,
2.506173,138.3108,
2.513637,133.9799,
2.520752,140.5364,
2.528184,134.5497,
2.535201,142.5171,
2.542479,137.3984,
2.549644,139.5771,
2.556809,139.5498,
