,FPS
0,50.00002,
0.01999999,50.00002,
0.1004572,12.42897,
0.1113454,91.84254,
0.1170261,176.0347,
0.1235472,153.3483,
0.1292093,176.613,
0.1349367,174.5992,
0.1404917,180.0179,
0.1463119,171.8155,
0.1517835,182.7619,
0.157499,174.9627,
0.1628586,186.581,
0.1685528,175.6174,
0.1740928,180.5054,
0.1795608,182.8823,
0.1849721,184.7984,
0.1905555,179.1024,
0.195912,186.6891,
0.2014454,180.7206,
0.2076617,160.8674,
0.2140011,157.7437,
0.2197073,175.248,
0.2258178,163.6527,
0.2312496,184.1012,
0.2373337,164.3627,
0.2430473,175.0211,
0.2489244,170.152,
0.2546923,173.3733,
0.2604836,172.6727,
0.2662457,173.548,
0.2720604,171.9778,
0.2778125,173.8496,
0.2836514,171.2652,
0.2892962,177.154,
0.2958148,153.4073,
0.3015533,174.2614,
0.3076088,165.1392,
0.3159842,119.3973,
0.3230221,142.0878,
0.3297148,149.4167,
0.3364172,149.2002,
0.3434115,142.9735,
0.3498401,155.5549,
0.3561364,158.8234,
0.362475,157.7636,
0.3687376,159.6781,
0.3752417,153.7491,
0.3814981,159.8364,
0.3888012,136.9282,
0.3951366,157.8432,
0.402351,138.6117,
0.4095204,139.4817,
0.4158646,157.6244,
0.4224812,151.1349,
0.4287947,158.3908,
0.4348276,165.7577,
0.4416673,146.2053,
0.4478852,160.826,
0.4548473,143.6348,
0.4608954,165.3412,
0.4670321,162.9541,
0.4730744,165.5,
0.4790607,167.048,
0.4852917,160.4878,
0.4919926,149.2337,
0.4979451,167.9968,
0.5042685,158.1426,
0.510222,167.9684,
0.5164432,160.7408,
0.5226418,161.3266,
0.5287195,164.5359,
0.5348355,163.5056,
0.5404628,177.7052,
0.5457111,190.5379,
0.5511547,183.7019,
0.5565166,186.5009,
0.5620693,180.0926,
0.5673538,189.2328,
0.5730311,176.14,
0.5787541,174.7335,
0.5842279,182.6886,
0.5902904,164.9485,
0.596195,169.3595,
0.6015138,188.0123,
0.6070458,180.7664,
0.6124102,186.4142,
0.6178531,183.7256,
0.6233018,183.5299,
0.6289236,177.8791,
0.6341811,190.2043,
0.6397953,178.1198,
0.6451044,188.3559,
0.650444,187.28,
0.6558314,185.6183,
0.6612024,186.185,
0.6665526,186.909,
0.6723186,173.4304,
0.6776029,189.2399,
0.683018,184.6688,
0.6883805,186.4802,
0.693705,187.8109,
0.6990688,186.4351,
0.7048587,172.7145,
0.710356,181.9075,
0.7156252,189.7823,
0.720966,187.2378,
0.7263534,185.6183,
0.7316322,189.4371,
0.7369601,187.6913,
0.7422323,189.6741,
0.7475581,187.7652,
0.7528406,189.3044,
0.7589167,164.5791,
0.7648312,169.076,
0.7705439,175.0486,
0.7758305,189.1575,
0.7811242,188.9038,
0.7863509,191.3253,
0.7917855,184.0061,
0.7973553,179.5397,
0.8028284,182.7118,
0.808404,179.353,
0.8142906,169.8773,
0.8196246,187.4766,
0.8251605,180.6389,
0.8316441,154.2354,
0.8371788,180.6782,
0.842498,187.9981,
0.8480927,178.7406,
0.8534201,187.709,
0.8590965,176.1679,
0.8645046,184.9078,
0.8701632,176.7221,
0.8756384,182.6418,
0.8810892,183.4593,
0.8864235,187.4661,
0.8923808,167.8613,
0.8979553,179.3882,
0.9035736,177.9899,
0.9091686,178.7309,
0.9146426,182.6817,
0.9199246,189.3224,
0.9254706,180.31,
0.9314336,167.7007,
0.9375217,164.255,
0.9429044,185.7803,
0.9482609,186.6891,
0.953739,182.5449,
0.9594374,175.4879,
0.9647072,189.7606,
0.9705843,170.152,
0.9762183,177.4938,
0.9816957,182.5683,
0.9873515,176.8095,
0.9927371,185.6805,
0.998048,188.2918,
1.003743,175.5958,
1.009031,189.1038,
1.014344,188.2283,
1.019881,180.6066,
1.025802,168.879,
1.031081,189.4332,
1.036593,181.4257,
1.042,184.9284,
1.047501,181.8015,
1.05289,185.5634,
1.058423,180.7238,
1.063885,183.0832,
1.069478,178.7884,
1.074843,186.4038,
1.080117,189.6058,
1.085376,190.1502,
1.090929,180.0958,
1.096308,185.908,
1.102312,166.539,
1.10815,171.2887,
1.113717,179.6428,
1.119086,186.2579,
1.124667,179.1634,
1.130036,186.2751,
1.135331,188.8575,
1.140589,190.1718,
1.145921,187.568,
1.151122,192.2411,
1.156504,185.8148,
1.161692,192.7563,
1.167033,187.2239,
1.172277,190.6867,
1.177615,187.3362,
1.182914,188.7254,
1.188579,176.535,
1.194046,182.919,
1.199426,185.8461,
1.205044,178.0056,
1.210659,178.1101,
1.215999,187.245,
1.221644,177.1605,
1.22706,184.6449,
1.232349,189.0574,
1.237729,185.8632,
1.243291,179.8044,
1.248567,189.5304,
1.254177,178.2435,
1.259679,181.7819,
1.265098,184.5326,
1.270822,174.703,
1.276201,185.908,
1.281378,193.1658,
1.286773,185.3362,
1.292193,184.5155,
1.297753,179.8399,
1.303318,179.7203,
1.309056,174.2678,
1.314273,191.692,
1.319789,181.2843,
1.325159,186.1955,
1.330529,186.2439,
1.335755,191.3289,
1.341144,185.5873,
1.346381,190.9308,
1.351852,182.792,
1.357498,177.1071,
1.362986,182.2192,
1.368313,187.7157,
1.373746,184.0637,
1.378896,194.1673,
1.384422,180.9595,
1.389977,180.0278,
1.39533,186.8285,
1.400793,183.0428,
1.406572,173.0434,
1.411828,190.2551,
1.417383,180.0246,
1.422745,186.4974,
1.428171,184.2979,
1.433533,186.4767,
1.439294,173.599,
1.444709,184.6485,
1.450188,182.5182,
1.455767,179.2373,
1.461358,178.8779,
1.466666,188.4057,
1.472424,173.6473,
1.47789,182.9458,
1.483328,183.9181,
1.488678,186.9194,
1.49421,180.7664,
1.49944,191.19,
1.50492,182.4753,
1.510329,184.8839,
1.515766,183.9215,
1.521181,184.6893,
1.527143,167.7177,
1.533109,167.6165,
1.539044,168.4892,
1.545185,162.8347,
1.551142,167.8781,
1.559142,125,
1.565167,165.9669,
1.570946,173.0583,
1.576552,178.3582,
1.581714,193.7232,
1.587282,179.601,
1.592564,189.3367,
1.597954,185.508,
1.603375,184.4781,
1.609159,172.9088,
1.61506,169.4512,
1.621171,163.6339,
1.626696,180.999,
1.632089,185.4117,
1.6376,181.4619,
1.642925,187.8074,
1.648218,188.9217,
1.653916,175.5156,
1.659262,187.0311,
1.664653,185.5048,
1.670206,180.073,
1.675998,172.6608,
1.681258,190.1251,
1.686784,180.9398,
1.692161,185.9808,
1.697477,188.1359,
1.702716,190.8616,
1.708279,179.7625,
1.713591,188.2564,
1.719126,180.6752,
1.724535,184.8633,
1.730045,181.4915,
1.735381,187.3852,
1.74089,181.5443,
1.746309,184.5357,
1.7517,185.4875,
1.757008,188.3773,
1.762542,180.7011,
1.767808,189.9225,
1.773358,180.1576,
1.778813,183.3246,
1.784333,181.1497,
1.789661,187.7018,
1.795091,184.1519,
1.800406,188.168,
1.806207,172.3721,
1.811513,188.4658,
1.816816,188.5902,
1.822116,188.683,
1.827883,173.3793,
1.833205,187.9275,
1.838986,172.9774,
1.844389,185.0652,
