,FPS
0,50.00002,
0.01999999,50.00002,
0.0726418,18.99631,
0.08714319,68.95888,
0.09719939,99.44114,
0.1068993,103.0938,
0.1163148,106.2078,
0.1256112,107.5686,
0.1349432,107.1581,
0.1445544,104.0452,
0.1577675,75.68245,
0.1667591,111.215,
0.1764655,103.0248,
0.1858124,106.9873,
0.1951153,107.4934,
0.2043006,108.8696,
0.214233,100.6806,
0.2238527,103.9533,
0.2339575,98.96289,
0.2435983,103.7258,
0.2536741,99.24769,
0.2642683,94.3913,
0.2788412,68.62051,
0.289296,95.64987,
0.2997124,96.00242,
0.3138723,70.62197,
0.3241229,97.55524,
0.3353351,89.1886,
0.3460864,93.01197,
0.357388,88.48304,
0.3687144,88.28934,
0.3797446,90.66018,
0.390812,90.35548,
0.4016401,92.35227,
0.4121765,94.90907,
0.4228313,93.85443,
0.4335177,93.57687,
0.444372,92.12938,
0.4548769,95.1937,
0.4701434,65.50288,
0.4808394,93.49292,
0.4917128,91.96757,
0.5022554,94.85324,
0.5123444,99.11783,
0.5219607,103.9901,
0.5318173,101.4549,
0.5418917,99.26144,
0.5520695,98.25307,
0.5616093,104.824,
0.5711228,105.1138,
0.5801334,110.9804,
0.5893352,108.6744,
0.598352,110.9041,
0.6075413,108.8222,
0.6202521,78.67326,
0.6297087,105.7462,
0.6393376,103.854,
0.6487614,106.1143,
0.6580659,107.4749,
0.6672853,108.467,
0.6764738,108.8316,
0.6853806,112.2738,
0.6943262,111.7868,
0.7045681,97.63813,
0.714041,105.5643,
0.7231541,109.7321,
0.7327991,103.6807,
0.741412,116.1049,
0.750248,113.1733,
0.7594011,109.2526,
0.7721387,78.50773,
0.7821817,99.57185,
0.7911798,111.1346,
0.799919,114.4269,
0.8087671,113.0186,
0.8181118,107.0125,
0.8264289,120.2342,
0.8349748,117.0151,
0.8434501,117.99,
0.8522012,114.2714,
0.8609802,113.9081,
0.8696885,114.833,
0.8786717,111.3189,
0.8879357,107.9447,
0.8966353,114.9479,
0.9056585,110.8254,
0.9145965,111.8818,
0.926965,80.85053,
0.9357863,113.362,
0.9450027,108.5023,
0.9535415,117.1125,
0.9624958,111.6782,
0.9719109,106.2124,
0.9812006,107.646,
0.9899068,114.8607,
0.9991161,108.5859,
1.007976,112.8706,
1.016768,113.7307,
1.025452,115.1623,
1.034729,107.7865,
1.043645,112.168,
1.052547,112.328,
1.06189,107.0401,
1.071258,106.7452,
1.083708,80.31612,
1.092359,115.5949,
1.101225,112.7904,
1.109994,114.0367,
1.119348,106.9084,
1.12792,116.6657,
1.136855,111.9219,
1.145556,114.9174,
1.154356,113.6467,
1.163102,114.3366,
1.172284,108.8992,
1.181565,107.7482,
1.19096,106.443,
1.200594,103.8044,
1.20943,113.1721,
1.218159,114.5606,
1.227346,108.846,
1.240336,76.98405,
1.24925,112.1793,
1.258073,113.344,
1.26684,114.0563,
1.275882,110.5926,
1.284812,111.9884,
1.293485,115.3003,
1.301985,117.6415,
1.31115,109.1179,
1.319755,116.2102,
1.328806,110.4813,
1.337446,115.7461,
1.347398,100.4813,
1.356404,111.0334,
1.364978,116.6372,
1.373436,118.2326,
1.382389,111.6857,
1.395031,79.1058,
1.404326,107.5766,
1.413834,105.178,
1.422608,113.9809,
1.431787,108.9372,
1.440549,114.1253,
1.449645,109.9457,
1.458304,115.4881,
1.467333,110.7493,
1.475629,120.5473,
1.484324,114.9994,
1.492796,118.0442,
1.5014,116.2169,
1.509632,121.483,
1.5183,115.3603,
1.526669,119.4929,
1.535668,111.1308,
1.54762,83.66593,
1.556185,116.7488,
1.564956,114.012,
1.573489,117.1894,
1.582394,112.2964,
1.591514,109.6527,
1.600463,111.7469,
1.609524,110.357,
1.61806,117.1577,
1.626603,117.0536,
1.635572,111.4939,
1.64385,120.8051,
1.65236,117.5088,
1.660874,117.4591,
1.669558,115.1503,
1.678057,117.6609,
1.686305,121.2401,
1.69796,85.79636,
1.706046,123.6828,
1.714186,122.8441,
1.722159,125.417,
1.730713,116.9098,
1.738909,122.0064,
1.74719,120.7627,
1.755397,121.8398,
1.763633,121.4211,
1.77213,117.6942,
1.780708,116.5799,
1.789188,117.9273,
1.797982,113.7061,
1.805713,129.3477,
1.814003,120.6258,
1.822848,113.0583,
1.831597,114.304,
1.839776,122.2598,
1.851319,86.63706,
1.859352,124.4788,
1.867648,120.5357,
1.875524,126.976,
1.883614,123.614,
1.892013,119.059,
1.900992,111.3697,
1.908949,125.6724,
1.917052,123.4202,
1.925226,122.3242,
1.933498,120.8956,
1.941579,123.741,
1.949876,120.5269,
1.95825,119.4173,
1.966332,123.7348,
1.974388,124.1326,
1.982912,117.3117,
1.99118,120.96,
2.002609,87.48904,
2.010835,121.5805,
2.0192,119.5386,
2.027364,122.495,
2.035842,117.9537,
2.043703,127.2087,
2.051811,123.3258,
2.05982,124.8658,
2.067771,125.7704,
2.075726,125.7039,
2.084214,117.8106,
2.092045,127.7074,
2.1006,116.8812,
2.108278,130.2473,
2.117458,108.9336,
2.125651,122.051,
2.134084,118.5915,
2.141655,132.0813,
2.153434,84.89539,
2.161524,123.6018,
2.169302,128.5744,
2.176938,130.9655,
2.184837,126.5886,
2.192828,125.1361,
2.201344,117.426,
2.209713,119.4986,
2.218236,117.3255,
2.226328,123.5849,
2.234899,116.6711,
2.242872,125.4265,
2.251992,109.6431,
2.260691,114.957,
2.269453,114.1357,
2.277674,121.6323,
2.28635,115.2525,
2.294989,115.7569,
2.307136,82.32892,
2.315738,116.2507,
2.323786,124.2544,
2.332169,119.2819,
2.340526,119.6659,
2.34912,116.3643,
2.358097,111.3896,
2.365905,128.077,
2.374036,122.9832,
2.382124,123.6414,
2.389883,128.8842,
2.397778,126.6641,
2.405595,127.9213,
2.414304,114.8304,
2.422594,120.6258,
2.431181,116.4497,
2.439398,121.7078,
2.447692,120.5559,
2.458664,91.14278,
2.466361,129.919,
2.474214,127.3447,
2.481812,131.6223,
2.489451,130.8952,
2.497489,124.409,
2.505334,127.4682,
2.513529,122.0256,
2.521531,124.9688,
2.529458,126.1575,
2.537227,128.7134,
2.54518,125.745,
2.553419,121.3725,
2.561483,124.011,
2.56963,122.7371,
2.577808,122.2823,
2.586008,121.9483,
2.59415,122.8214,
2.602391,121.3489,
2.61397,86.36253,
2.622144,122.3421,
2.630591,118.3867,
2.638971,119.3245,
2.647331,119.6244,
2.655657,120.1027,
2.664409,114.257,
2.673196,113.8097,
2.682518,107.2708,
2.690855,119.9415,
2.699757,112.3356,
2.708269,117.4784,
2.716889,116.0133,
2.725204,120.269,
2.734182,111.3759,
2.742445,121.0287,
2.750863,118.7874,
2.759512,115.6176,
2.771178,85.71772,
2.779597,118.7889,
2.788035,118.5128,
2.79669,115.5375,
2.805317,115.9138,
2.813998,115.1901,
2.82267,115.3243,
2.831033,119.5686,
2.839409,119.3831,
2.847851,118.4567,
2.856377,117.2882,
2.864584,121.8547,
2.872933,119.7778,
2.881328,119.1085,
2.889633,120.4095,
2.897898,120.9936,
2.906085,122.1434,
