,FPS
0,50.00002,
0.01999999,50.00002,
0.08035249,16.56932,
0.1003308,50.05431,
0.1145019,70.56614,
0.1286256,70.80299,
0.1428289,70.40616,
0.156607,72.57896,
0.1709019,69.95499,
0.1858749,66.7869,
0.2005675,68.06146,
0.2180778,57.10924,
0.2339962,62.8204,
0.248936,66.93529,
0.2636672,67.88313,
0.2782269,68.68273,
0.2920413,72.38824,
0.3073909,65.14829,
0.3238413,60.78878,
0.3394685,63.991,
0.3547435,65.46645,
0.3703064,64.25536,
0.3854357,66.09694,
0.400668,65.64994,
0.4160836,64.86937,
0.4317442,63.85451,
0.446855,66.17783,
0.4616724,67.4882,
0.4769618,65.40479,
0.4916757,67.96296,
0.5038453,82.17197,
0.5167157,77.69765,
0.5293538,79.1258,
0.541409,82.95174,
0.553847,80.3988,
0.5660264,82.10584,
0.5782374,81.89339,
0.5897916,86.5486,
0.6017657,83.51358,
0.6137262,83.60854,
0.6268825,76.00922,
0.6384447,86.48872,
0.6503879,83.72968,
0.6618912,86.93156,
0.6733214,87.48757,
0.6848622,86.64909,
0.6963935,86.72049,
0.707846,87.31717,
0.7197572,83.95457,
0.7315357,84.90051,
0.742886,88.10336,
0.7544146,86.7408,
0.7659301,86.8395,
0.7773438,87.61398,
0.7884613,89.94832,
0.7998095,88.11971,
0.8112666,87.28212,
0.8228769,86.13039,
0.8345016,86.02376,
0.8521082,56.79687,
0.8675838,64.61787,
0.8945877,37.03168,
0.9284295,29.54926,
0.9397052,88.68633,
0.9508432,89.7827,
0.9620182,89.48546,
0.9733694,88.09643,
0.9847945,87.52659,
0.9955445,93.02325,
1.006186,93.97437,
1.017015,92.34031,
1.027775,92.9351,
1.038439,93.77342,
1.049476,90.61012,
1.060495,90.75066,
1.071098,94.31384,
1.081881,92.73516,
1.092583,93.4413,
1.103333,93.02154,
1.11374,96.09472,
1.124564,92.38129,
1.135483,91.58688,
1.145931,95.70747,
1.156077,98.56393,
1.166764,93.57513,
1.177313,94.79125,
1.187588,97.32829,
1.198012,95.93063,
1.208438,95.91772,
1.218937,95.24446,
1.229258,96.8908,
1.239498,97.65623,
1.24973,97.73544,
1.260117,96.26679,
1.270207,99.11003,
1.280516,97.00636,
1.29052,99.95998,
1.301023,95.20731,
1.311166,98.58721,
1.320939,102.3311,
1.330839,101.0101,
1.341227,96.26495,
1.351568,96.70152,
1.361376,101.9555,
1.371205,101.7428,
1.381348,98.58727,
1.391099,102.5473,
1.400973,101.2761,
1.411119,98.56779,
1.420627,105.1747,
1.431061,95.83864,
1.441064,99.974,
1.450716,103.6055,
1.461216,95.23354,
1.47081,104.2308,
1.481001,98.12579,
1.490722,102.8701,
1.500385,103.4939,
1.510164,102.2568,
1.519705,104.8075,
1.529361,103.5701,
1.539169,101.9555,
1.548949,102.2474,
1.558874,100.7557,
1.568938,99.36804,
1.57873,102.1179,
1.588304,104.4517,
1.598078,102.3154,
1.607702,103.9036,
1.617402,103.095,
1.627106,103.0513,
1.636548,105.9053,
1.646224,103.3442,
1.655768,104.7801,
1.665556,102.1711,
1.675041,105.4274,
1.68477,102.7865,
1.694118,106.9691,
1.703658,104.8229,
1.713244,104.3167,
1.722601,106.8776,
1.732755,98.48332,
1.742844,99.11588,
1.752405,104.5894,
1.761946,104.8108,
1.771221,107.8213,
1.780818,104.1992,
1.790145,107.2191,
1.799646,105.242,
1.809852,97.98639,
1.819085,108.306,
1.82875,103.4672,
1.838149,106.3965,
1.848375,97.79185,
1.857852,105.5097,
1.867198,107.0045,
1.876839,103.7215,
1.892551,63.64643,
1.905849,75.19698,
1.927885,45.38133,
1.958334,32.84191,
1.967708,106.6678,
1.977101,106.4725,
1.986837,102.7116,
1.996483,103.6688,
2.005919,105.9704,
2.015696,102.284,
2.024778,110.1055,
2.034703,100.7628,
2.044565,101.391,
2.053847,107.7447,
2.063072,108.3953,
2.07234,107.9005,
2.081918,104.4026,
2.091405,105.4029,
2.100805,106.3898,
2.110386,104.3678,
2.119854,105.62,
2.129406,104.6945,
2.138604,108.7204,
2.147878,107.826,
2.157141,107.9587,
2.166833,103.1768,
2.1763,105.6278,
2.18584,104.8251,
2.19511,107.8702,
2.204448,107.0985,
2.213573,109.5807,
2.222757,108.8862,
2.23192,109.1357,
2.241092,109.0299,
2.250298,108.6236,
2.259853,104.6518,
2.268862,111.0088,
2.278104,108.197,
2.287215,109.761,
2.296333,109.6696,
2.305166,113.2182,
2.314496,107.1812,
2.323931,105.9849,
2.333786,101.4672,
2.342961,108.9942,
2.351937,111.407,
2.360876,111.8681,
2.369789,112.2032,
2.378936,109.3231,
2.387914,111.3747,
2.397066,109.2718,
2.406253,108.8518,
2.415255,111.0864,
2.424129,112.6913,
2.433254,109.589,
2.442483,108.3495,
2.45143,111.7755,
2.460793,106.8023,
2.469899,109.8129,
2.479191,107.6252,
2.48822,110.742,
2.497397,108.9728,
2.506656,108.0053,
2.515852,108.7405,
2.524814,111.5885,
2.533844,110.7322,
2.542928,110.0897,
2.55234,106.2496,
2.561258,112.1328,
2.570414,109.2132,
2.579377,111.566,
2.588568,108.8021,
2.597662,109.9686,
2.607115,105.7831,
2.616726,104.0529,
2.625817,109.9928,
2.634852,110.6844,
2.64378,112.0047,
2.652739,111.6171,
2.661742,111.0716,
2.670633,112.4859,
2.679995,106.8091,
2.68885,112.9331,
2.69803,108.9277,
2.706977,111.768,
2.716014,110.6599,
2.724896,112.5923,
2.734398,105.2344,
2.744202,102.0012,
2.753141,111.8681,
2.76191,114.0394,
2.77071,113.6441,
2.77981,109.8877,
2.788724,112.1742,
2.797682,111.642,
2.806576,112.4278,
2.815635,110.385,
2.824486,112.9905,
2.833638,109.2657,
2.842655,110.8943,
2.851666,110.9766,
2.860679,110.9521,
2.869481,113.6144,
2.878265,113.8343,
2.887527,107.9727,
2.897132,104.1157,
2.905952,113.371,
2.914891,111.8656,
2.923591,114.9478,
2.932527,111.912,
2.941219,115.0509,
2.950448,108.3529,
2.959286,113.1376,
2.968435,109.3075,
2.983941,64.49075,
2.996661,78.61821,
3.01782,47.26167,
3.046554,34.80161,
3.055383,113.2567,
3.064556,109.0227,
3.073628,110.2208,
3.082656,110.7689,
3.091672,110.9213,
3.100843,109.0346,
3.109871,110.7714,
3.118626,114.2126,
3.127449,113.3504,
3.13612,115.3177,
3.144953,113.2066,
3.154413,105.7194,
3.163597,108.878,
3.172456,112.8796,
3.181544,110.0376,
3.191153,104.0746,
3.200628,105.532,
3.209541,112.2045,
3.21863,110.0134,
3.22767,110.6268,
3.236329,115.4802,
3.245345,110.9151,
3.254053,114.8435,
3.263235,108.9064,
3.271948,114.7685,
3.280871,112.0648,
3.289555,115.1623,
3.29877,108.514,
3.307514,114.3732,
3.316947,106.0086,
3.325653,114.866,
3.334518,112.7929,
3.343658,109.4176,
3.352527,112.7472,
3.36121,115.1729,
3.369963,114.2478,
3.379134,109.0394,
3.387798,115.4108,
3.396618,113.3877,
3.405473,112.9229,
3.414394,112.0925,
3.423298,112.3154,
