,FPS
0,50.00002,
0.01999999,50.00002,
0.08224699,16.06503,
0.1079276,38.93989,
0.1261312,54.93419,
0.145248,52.31002,
0.1618558,60.21266,
0.1790971,58.00027,
0.1955302,60.85279,
0.2129007,57.56887,
0.2339193,47.5769,
0.2537334,50.4691,
0.271664,55.77058,
0.2874268,63.44049,
0.3042142,59.56849,
0.3201337,62.81607,
0.3369801,59.35986,
0.3522139,65.6435,
0.367153,66.93843,
0.385707,53.89674,
0.4025017,59.54257,
0.4203247,56.1073,
0.4377157,57.50101,
0.4557943,55.31402,
0.4735333,56.37296,
0.4910001,57.25146,
0.509789,53.22292,
0.5282793,54.08241,
0.544386,62.08595,
0.5588516,69.12954,
0.5728029,71.67789,
0.5864187,73.44408,
0.599271,77.80711,
0.6128994,73.37617,
0.6275015,68.48331,
0.6395729,82.84043,
0.653697,70.80097,
0.6658631,82.19561,
0.6793664,74.05596,
0.693288,71.83083,
0.705283,83.36804,
0.718235,77.20817,
0.7317781,73.83835,
0.7441347,80.92843,
0.7559281,84.79317,
0.7675321,86.17715,
0.7785833,90.48793,
0.7894093,92.37022,
0.8014657,82.9435,
0.8128639,87.73315,
0.8242507,87.821,
0.836148,84.05268,
0.8473842,88.99804,
0.8578584,95.47269,
0.8691821,88.31033,
0.8799564,92.81347,
0.8903145,96.5428,
0.901549,89.01156,
0.9126285,90.25672,
0.9228568,97.76801,
0.9331187,97.4478,
0.9435371,95.98407,
0.9540373,95.2363,
0.9641648,98.74104,
0.9743586,98.09885,
0.9844285,99.3058,
0.99464,97.92886,
1.004715,99.2516,
1.014501,102.193,
1.02433,101.7429,
1.034337,99.9241,
1.043911,104.4495,
1.053899,100.1171,
1.063651,102.5431,
1.073363,102.9739,
1.083003,103.7312,
1.092537,104.8911,
1.102779,97.63056,
1.112366,104.3123,
1.121691,107.2317,
1.131957,97.41268,
1.14148,105.0112,
1.150912,106.0198,
1.15988,111.5138,
1.16928,106.383,
1.178848,104.5118,
1.188115,107.9144,
1.197456,107.0435,
1.206464,111.0149,
1.215577,109.737,
1.224602,110.7985,
1.233798,108.7441,
1.242731,111.9533,
1.251887,109.2168,
1.261128,108.2076,
1.270113,111.2928,
1.279294,108.9325,
1.288154,112.8592,
1.297263,109.7827,
1.305995,114.52,
1.315448,105.7921,
1.324502,110.4472,
1.333592,110.0038,
1.342221,115.899,
1.35116,111.8669,
1.35976,116.2804,
1.36919,106.0423,
1.378225,110.6795,
1.386978,114.2478,
1.395693,114.7461,
1.404484,113.7436,
1.41378,107.5801,
1.42295,109.0525,
1.432492,104.791,
1.441269,113.9393,
1.450351,110.1091,
1.458851,117.6498,
1.467676,113.3144,
1.476113,118.5256,
1.484776,115.4334,
1.493521,114.3432,
1.502214,115.0391,
1.510672,118.2313,
1.519165,117.7509,
1.528278,109.7225,
1.53672,118.468,
1.545483,114.1175,
1.554042,116.8306,
1.565387,88.1399,
1.573927,117.1015,
1.583189,107.9739,
1.591657,118.0889,
1.600226,116.6983,
1.609372,109.3314,
1.618417,110.5644,
1.627489,110.233,
1.636593,109.8334,
1.645378,113.8291,
1.654332,111.6906,
1.663331,111.116,
1.673031,103.1002,
1.682455,106.112,
1.692116,103.5079,
1.70218,99.366,
1.7108,116.0012,
1.721816,90.77705,
1.732535,93.28884,
1.742149,104.015,
1.751085,111.9094,
1.759514,118.6451,
1.768186,115.3136,
1.776793,116.1805,
1.78617,106.6393,
1.795138,111.5139,
1.804117,111.366,
1.813128,110.9792,
1.822246,109.6744,
1.830899,115.5628,
1.839266,119.5186,
1.847729,118.1586,
1.856196,118.1071,
1.864822,115.9353,
1.873565,114.3785,
1.883879,96.9565,
1.894981,90.07146,
1.903968,111.2644,
1.912751,113.8627,
1.921719,111.5051,
1.930602,112.5746,
1.939761,109.1858,
1.949794,99.66812,
1.958299,117.5779,
1.966956,115.5149,
1.976165,108.5893,
1.985649,105.4397,
1.994254,116.2196,
2.003276,110.834,
2.01234,110.3253,
2.021137,113.6752,
2.029756,116.0213,
2.038108,119.739,
2.046406,120.5138,
2.0552,113.7087,
2.064206,111.0359,
2.073,113.7178,
2.081668,115.3695,
2.089912,121.2915,
2.098592,115.2047,
2.106976,119.2833,
2.116076,109.8889,
2.124791,114.7421,
2.133631,113.1299,
2.142327,114.9954,
2.151438,109.7514,
2.15994,117.6152,
2.168108,122.4365,
2.17659,117.8925,
2.184829,121.3711,
2.193155,120.11,
2.201737,116.5175,
2.211891,98.48428,
2.221419,104.9582,
2.23076,107.0549,
2.239782,110.8402,
2.249153,106.7076,
2.258679,104.9759,
2.267479,113.6337,
2.277282,102.0179,
2.286707,106.1019,
2.29514,118.5733,
2.303844,114.8937,
2.31234,117.7011,
2.320823,117.887,
2.329236,118.8538,
2.337764,117.2717,
2.346471,114.8423,
2.354776,120.4065,
2.363399,115.9757,
2.371684,120.7015,
2.380041,119.6515,
2.388357,120.2603,
2.396718,119.6014,
2.404874,122.6031,
2.413531,115.5175,
2.421918,119.2307,
2.430938,110.8648,
2.439238,120.4761,
2.447699,118.1908,
2.456702,111.0741,
2.465126,118.714,
2.473407,120.7642,
2.481884,117.9524,
2.489837,125.7466,
2.497779,125.9097,
2.505602,127.833,
2.5143,114.9716,
2.522711,118.8919,
2.530392,130.1915,
2.538296,126.5166,
2.546514,121.6797,
2.554348,127.6568,
2.562123,128.6141,
2.569929,128.1033,
2.577812,126.8521,
2.586036,121.5953,
2.594094,124.1111,
2.602431,119.9342,
2.610383,125.7688,
2.618511,123.0284,
2.626257,129.0922,
2.634672,118.8369,
2.642315,130.8455,
2.6503,125.2333,
2.657882,131.8808,
2.666222,119.9113,
2.67394,129.5555,
2.68203,123.6186,
2.689788,128.8943,
2.697765,125.3619,
2.7053,132.7229,
2.713518,121.6737,
2.72134,127.8511,
2.729262,126.2275,
2.736987,129.4581,
2.74474,128.9791,
2.752396,130.6097,
2.760635,121.371,
2.768928,120.588,
2.776609,130.1846,
2.784423,127.9836,
2.792268,127.4664,
2.800189,126.2547,
2.807828,130.8969,
2.81566,127.6829,
2.823498,127.5835,
2.831142,130.8233,
2.838774,131.0255,
2.846977,121.9171,
2.854534,132.3206,
2.862315,128.5166,
2.870223,126.4478,
2.878232,124.8705,
2.885986,128.9674,
2.893543,132.3223,
2.901817,120.865,
2.909309,133.4739,
2.917197,126.7684,
2.924632,134.4971,
2.932664,124.5004,
2.940176,133.1328,
2.948139,125.5776,
2.956041,126.5503,
2.963806,128.7763,
2.971476,130.3815,
2.979311,127.626,
2.987073,128.836,
2.994769,129.9427,
3.003176,118.9415,
3.011478,120.4529,
3.019421,125.8969,
3.027131,129.7119,
3.034931,128.2019,
3.042548,131.28,
3.050903,119.6889,
3.058701,128.238,
3.067357,115.5335,
3.074871,133.0831,
3.082746,126.9841,
3.090182,134.4845,
3.098149,125.5193,
3.105537,135.3455,
3.1135,125.5856,
3.121151,130.7036,
3.129329,122.2777,
3.137005,130.2677,
3.144408,135.0822,
3.152066,130.5876,
3.159656,131.747,
